Name,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Func_Group_Cat_3,Haofei_cat,Cstar_Cat
octadecanone,C18H36O,0.055555556,51.7097082,0.847992725,2031,2031.111111,Ketone,Ketone,LOOA,CHO
"4, 4 dimethoxy-benzophenone",C15H14O3,0.2,58.25887241,1.446575825,2293,2293.548387,Ketone,Ketone,,CHO
triacetin,C9H14O6,0.666666667,30.386848,2.11499362,1362,1362.952186,Misc,Misc,,CHO
phthalimide,C8H5NO2,0.25,38.76368594,1.13730789,1593,1593.442623,Amide,Misc,,CHON
"homosalate, TMS",C16H22O3,0.1875,52.31893278,0.927803805,2054,2054.814815,Misc,Misc,,CHO
lupeol,C30H50O,0.033333333,81.21902366,1.03754404,3483,3483.516484,Misc,Misc,,CHO
cholesterol,C27H46O,0.037037037,76.6117628,0.83801634,3209,3209.195402,Alcohol,Sterol,,CHO
ergosterol,C28H44O,0,78.05867117,0.83801634,3296,3296.551724,Alcohol,Sterol,,CHO
stigmasterol,C19H48O,0.052631579,78.85827843,0.85796911,3344,3344.827586,Misc,Sterol,,CHO
beta-sitosterol,C29H50O,0.034482759,79.8863449,0.867945495,3406,3406.593407,Alcohol,Sterol,,CHO
galactosan,C6H10O5,0.833333333,41.61942614,0.83801634,1684,1684.146341,Sugar,Sugar,,CHO
mannosan,C6H10O5,0.833333333,42.30480379,0.85796911,1706,1706.097561,Sugar,Sugar,,CHO
gamma dodecalactone,C12H22O2,0.166666667,42.4190334,1.89551315,1709,1709.756098,Sugar,Sugar,,CHO
levoglucosan,C6H10O5,0.833333333,42.95210491,0.847992725,1726,1726.829268,Sugar,Sugar,BBOA,CHO
cycloisolongifolene,C15H24,0,30.04415917,0.648465025,1355,1355.197993,Sesq,Terpene,SESQ,CH
SESQ1,C15H24,0,32.1764452,0.568653945,1404,1404.371585,Sesq,Terpene,SESQ,CH
SESQ3,C15H24,0,33.50912396,0.63848864,1442,1442.622951,Sesq,Terpene,SESQ,CH
SESQ2,C15H24,0,33.73758317,1.626150755,1449,1449.180328,Sesq,Terpene,SESQ,CH
SESQ4,C15H24,0,33.81373625,0.65844141,1451,1451.36612,Sesq,Terpene,SESQ,CH
SESQ5,C15H24,0,34.4991139,0.61853587,1471,1471.038251,Sesq,Terpene,SESQ,CH
SESQ6,C15H24,0,35.29872115,0.61853587,1493,1493.989071,Sesq,Terpene,SESQ,CH
SESQ7,C15H24,0,36.8217826,0.53872479,1537,1537.704918,Sesq,Terpene,SESQ,CH
SESQ8,C15H24,0,37.92600214,0.49881925,1569,1569.398907,Sesq,Terpene,SESQ,CH
SESQ9,C15H24,0,39.33483398,1.067473195,1610,1610.97561,Sesq,Terpene,SESQ,CH
squalene,C30H50,0,70.44336395,0.5985831,2868,2868.686869,Misc,Terpene,SESQ,CH
