Compound.Name,IS_index1,IS_index2,IS_index3,IS_appropriate1,IS_appropriate2,IS_appropriate3,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,cumsum_ISnormnorm,cumsum_ISrawnorm1,cumsum_ISrawnorm2,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
1221_0832_blob_843,25,11,4,methoxyphenol-d3,dC14,"d-C10 acid, TMS",0.556548992,-0.11087466,0.712368224,0.321944617,0.695714894,-0.14289087,0.743293486,0.340421873,-0.554418231,-0.993956045,0.282450132,-0.90815142,0.000482144,0.000982583,7.75E-05,843,amz_lib_1221_0832,999,999,C7 acid,474,559,1752.439024,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",662,675,NA,C13H26BNO6Si,331,myrc_ox_L_blob_573,638,677,1757
1202_1412_blob_1443,11,26,12,dC14,pentaerythritol-C13,dC16,0.810157802,0.499502077,0.511770309,0.227044453,0.618321242,0.182582647,NA,NA,NA,NA,NA,NA,0.000439167,0.000982251,NA,1443,amz_lib_1202_1412,999,999,C12 diacid,454,532,2112.592593,2120,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",710,777,NA,C13H26BNO6Si,331,limonox_S_blob_687,449,641,NA
1202_1412_blob_1251,11,26,12,dC14,pentaerythritol-C13,dC16,0.570979375,0.549558906,0.235743804,0.318700445,0.436838192,0.417084938,NA,NA,NA,NA,NA,NA,0.000437405,0.000978309,NA,1251,amz_lib_1202_1412,999,999,FAME18 (Methyl Stearate),487,624,2161.481481,2161,"Butanoic acid, 1a,2,5,5a,6,9,10,10a-octahydro-5a-hydroxy-4-(hydroxymethyl)-1,1,7,9-tetramethyl-6,11-dioxo-1H-2,8a-methanocyclopenta[a]cyclopropa[e]cyclodecen-5-yl ester, [1aR-(1aa,2a,5ﬂ,5aﬂ,8aa,9a,10aa)]-",631,632,NA,C24H32O6,416,apin_ox_S_blob_592,397,518,NA
1221_0832_blob_723,11,26,0,dC14,pentaerythritol-C13,NA,0.796724517,0.052877356,0.348834857,0.021442887,0.341735796,-0.218463951,0.698105685,0.799455763,-0.965068801,-0.77396605,-0.888121186,-0.923735611,0.000491462,0.000974592,0.000100776,723,amz_lib_1221_0832,999,999,C7 acid,599,662,1665.853659,NA,"7-Oxooctanoic acid, 2-trimethylsilylethyl ester",699,706,NA,C13H26O3Si,258,limonox_S_blob_1066,629,650,1672
1202_1412_blob_635,25,11,4,methoxyphenol-d3,dC14,"d-C10 acid, TMS",0.245554684,0.621205326,0.302324764,-0.021223223,0.094403478,-0.141433837,0.347990057,0.434739707,-0.25271998,0.456803861,0.027993275,-0.540290478,0.000622982,0.000972153,0.000340624,635,amz_lib_1202_1412,999,999,C7 acid,409,563,1869.798658,NA,"ﬂ-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",666,668,NA,C27H52N2O10Si3,648,limonox_S_blob_649,585,650,1868
1128_1901_blob_582,11,26,12,dC14,pentaerythritol-C13,dC16,0.11655603,0.334136871,-0.182141969,-0.075817235,-0.069787184,-0.151165323,-0.040676996,-0.268633852,0.075528249,0.644474983,0.789530636,0.715311248,0.000840064,0.000971702,0.000733614,582,amz_lib_1128_1901,999,999,C7 acid,341,361,1522.826087,NA,"Pyroglutamic acid, TMS derivative",898,914,1511,C8H15NO3Si,201,myrc_ox_L_blob_661,416,417,1519
1202_0046_blob_1096,11,26,12,dC14,pentaerythritol-C13,dC16,0.455713634,0.401828751,0.53009853,0.240620397,0.4565594,0.038699101,0.473582273,0.692768646,0.063871566,0.012639197,0.630767071,0.129128089,0.000508915,0.000966164,0.000139159,1096,amz_lib_1202_0046,999,999,bisabolol,516,565,1768.292683,1770,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",740,753,NA,C13H26BNO6Si,331,limonox_L_blob_637,656,700,1774
1221_0832_blob_719,11,25,26,dC14,methoxyphenol-d3,pentaerythritol-C13,0.821348611,0.603995952,0.195695063,-0.026073097,0.236592192,-0.154090516,0.654535902,0.324047902,-0.068359067,-0.174894949,-0.057569217,-0.135424499,0.001244572,0.000964584,0.001470986,719,amz_lib_1221_0832,999,999,C7 acid,549,554,1404.395604,NA,"3,6,10-Trioxa-2,11-disiladodecane, 2,2,11,11-tetramethyl-",697,717,NA,C11H28O3Si2,264,myrc_ox_L_blob_718,556,575,1414
1128_1901_blob_1269,11,26,12,dC14,pentaerythritol-C13,dC16,0.696475073,0.306281654,0.002129447,0.260154766,0.320213512,-0.10439761,NA,NA,NA,NA,NA,NA,0.000431083,0.00094688,1.40E-05,1269,amz_lib_1128_1901,999,999,C7 acid,465,558,1910.067114,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",700,725,NA,C13H26BNO6Si,331,limonox_S_blob_1039,570,657,1903
1221_0832_blob_807,11,26,12,dC14,pentaerythritol-C13,dC16,0.664957682,0.320377175,0.615346836,0.25703741,0.595927394,0.099633783,0.395738495,0.415554847,0.118107963,-0.189005912,-0.168636302,-0.256742214,0.001255977,0.00093257,0.001517501,807,amz_lib_1221_0832,999,999,C7 acid,405,451,1595.604396,NA,"Silane, [(1-methoxy-1,3-propanediyl)bis(oxy)]bis[trimethyl-",721,797,NA,C10H26O3Si2,250,limonox_S_blob_730,621,634,1595
