Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,AMS_PMF_1_iepox,AMS_PMF_2_moooa,AMS_PMF_3_loooa,AMS_PMF_4_bboa,AMS_PMF_5_arom,AMS_PMF_6_hc,cluster,Assigned_Option_2
1202_0046_blob_1039,0.797680591,0.392934767,0.588221174,0.865594626,0.494825811,-0.204697492,0.039941175,0.070967245,0.779149507,0.570375183,0.400882216,0.017378386,0.452801683,-0.065955212,NA,2a
1202_0046_blob_1032,0.607043578,0.610098259,0.396179788,0.785466395,0.708067725,-0.354123099,-0.101586443,0.130432951,0.662295245,0.50481605,0.507164528,0.297631366,0.643294226,0.048732875,NA,2o
1202_0046_blob_1025,0.215205178,0.095128039,0.003877057,0.264258209,0.497748154,-0.278385426,0.016951608,-0.068667549,0.182043594,0.086401245,0.663179418,-0.091009566,0.320761232,-0.118166705,NA,3
1202_0046_blob_1009,0.711961655,0.503622157,0.581265063,0.725514943,0.307974993,-0.179871972,0.11158833,0.026795998,0.551689403,0.640829577,0.084491269,0.162992524,0.362549547,-0.007774865,NA,2a
1202_0046_blob_1000,0.62448035,0.476222881,0.240194713,0.571247364,0.484475059,-0.288761568,-0.064719004,-0.085722299,0.273788129,0.415462342,0.522692959,0.23309479,0.548131386,0.090661174,NA,2a
1129_1334_blob_996,0.679232607,0.239777002,0.391025398,0.674040105,0.444317214,-0.266252271,-0.013496238,-0.075444468,0.585770296,0.410505631,0.55826713,0.038129507,0.349298441,-0.084987152,NA,2a
1129_1334_blob_991,0.770096188,0.212884642,0.630621976,0.635381691,0.027578638,-0.094759946,0.21555862,-0.08903694,0.475080649,0.574454168,0.033964917,-0.000236218,0.072271713,-0.091632832,NA,2a
1129_1334_blob_973,0.462202022,0.281140282,0.282367727,0.346429861,0.048441519,-0.146663068,-0.036112312,-0.035280055,0.093107386,0.297092221,0.00204597,0.110361686,0.143497817,-0.025788702,NA,2a
1129_1334_blob_965,0.596427886,0.312443479,0.482802533,0.619960223,0.465769589,-0.258195542,-0.003396554,-0.000562744,0.488279668,0.419744024,0.310557329,-0.100435815,0.299168097,-0.164192695,NA,2a
1129_1334_blob_964,0.713574791,0.226784543,0.689422237,0.639828219,0.078079711,-0.111762787,0.111505034,-0.021820909,0.545079536,0.515872696,0.027232527,0.001322273,0.133804678,-0.0707007,NA,2a
