Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,cluster_vol.z7,cluster_vol.z8,cluster_vol.z9,cluster_vol.z10,cluster_vol.z11,cluster_vol.z12,cluster_vol.z13,AMS_PMF_1,AMS_PMF_2,AMS_PMF_3,AMS_PMF_4,AMS_PMF_5,AMS_PMF_6,cluster,max_corr,assigned_cluster
1202_1412_blob_1161,-0.027944602,-0.062742129,0.083334641,0.181212738,-0.234537881,-0.157918443,0.27945799,-0.190925335,-0.213136939,-0.070220069,-0.041194897,-0.075155443,-0.150279333,0.072610514,-0.140377592,0.082128874,-0.110180986,-0.202543029,-0.085556534,-0.145663233,NA,cluster_vol.z6,6
1202_1412_blob_1372,-0.037703116,0.345759839,0.005491758,0.342201456,-0.082436326,-0.043443088,0.422011203,-0.113599931,0.274159472,0.138775554,0.344318519,0.084171043,0.098592895,-0.023908166,0.123181407,0.115618426,0.170493234,0.270940452,0.227677748,0.094284519,NA,cluster_vol.z6,6
1202_1412_blob_1536,-0.037898195,0.331094933,0.00573298,0.334882444,-0.032766926,-0.044280697,0.390432012,-0.073773592,0.287122464,0.174583582,0.328495166,0.088155591,0.107833983,-0.03879804,0.123007247,0.114950759,0.16946053,0.249369634,0.1962762,0.093477079,NA,cluster_vol.z6,6
1202_1412_blob_1589,0.243867032,0.629652931,0.152193749,0.616835261,-0.525041188,0.178388021,0.712896792,-0.284501249,0.434975412,-0.062007505,0.657801026,0.415042565,0.297991916,0.482304597,0.447926001,0.283646848,0.413654352,0.445079218,0.72889575,0.128573662,NA,cluster_vol.z6,6
1202_1412_blob_1735,0.003290385,0.282482273,0.081754017,0.382637913,-0.132699944,0.183813002,0.460344038,-0.048542836,0.310629058,0.199026492,0.287091592,0.17799799,0.12786302,0.213148565,0.307057217,-0.021123421,0.159903231,0.187413679,0.313428616,0.011355655,NA,cluster_vol.z6,6
1202_1412_blob_1814,0.238763229,0.298223742,0.090703602,0.488366739,-0.266155761,0.22517664,0.504534649,-0.163490399,0.272675949,-0.090068503,0.327233935,0.304154919,0.199025023,0.355603976,0.238676931,0.221678544,0.444538624,0.200749996,0.395549101,0.023819328,NA,cluster_vol.z6,6
1202_1412_blob_1902,0.088854787,0.283371679,0.15474334,0.317662121,-0.274410616,0.287647822,0.41889525,-0.205168048,0.197441492,-0.020091733,0.308501954,0.178527306,0.171455073,0.178680101,0.384351466,0.058083578,0.120020096,0.291055182,0.42773791,0.02842162,NA,cluster_vol.z6,6
1202_1412_blob_665,0.049131405,0.383327418,0.024010953,0.4465343,-0.009264165,0.050592301,0.468410317,-0.009918055,0.430903268,0.243949588,0.384552669,0.228947054,0.217523978,0.067621369,0.290444366,0.128539198,0.285782657,0.281820854,0.34742597,0.144317501,NA,cluster_vol.z6,6
1202_1412_blob_690,-0.044431552,0.0423298,-0.035892802,0.146081453,0.03611988,-0.042399788,0.266515006,0.172079307,0.0635654,0.191977822,0.043764462,0.014839959,-0.043964396,-0.00855828,-0.025851001,-0.04861537,0.134712651,0.098305311,0.111452004,0.202242233,NA,cluster_vol.z6,6
1202_1412_blob_844,0.028633797,0.383323676,0.106351944,0.44810128,-0.060971976,0.096285934,0.529905665,-0.005055863,0.441070218,0.079395027,0.392319666,0.210463063,0.289952372,0.116866048,0.319629563,0.308790963,0.219920818,0.311399973,0.274905532,0.088409354,NA,cluster_vol.z6,6
1202_1412_blob_937,0.039035981,0.214824838,-0.028000736,0.215324457,0.20821115,-0.247265294,0.259052172,0.198458958,0.090220943,0.241391616,0.206855335,0.066379348,-0.009295974,-0.067765903,0.030330171,0.132108283,-0.043429909,0.259553971,0.133967224,0.101659779,NA,cluster_vol.z6,6
1202_1412_blob_994,-0.212899495,0.092314816,-0.279986458,0.269164608,0.324494799,0.10463599,0.397362154,0.073935276,0.117024785,0.380838322,0.081168288,-0.123356607,-0.159680188,-0.184709509,0.071553203,-0.11760502,0.229155808,0.217051597,0.203132433,0.149564575,NA,cluster_vol.z6,6
1206_0924_blob_416,-0.125772753,0.278579005,-0.106858308,0.060852218,-0.234001684,0.198559814,0.290253699,-0.192202239,0.135708261,-0.164813661,0.280533479,-0.076069882,-0.015189697,0.044744567,0.052569561,-0.00310685,0.324530168,0.560595536,0.487618439,0.223116858,NA,cluster_vol.z6,6
