PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,time_start,time_end,time_start_num,,,
0.020387201,0.1823345,0.61604422,0.094764285,0.42121401,0.16901228,48:01.3,51:01.3,41692.03,,,
0.02541252,0.22831336,0.67429799,0.14846286,0.44769225,0.18949971,56:01.4,59:01.4,41692.04,,,
0.086682141,0.077218354,0.25987321,0.063591599,0.12171772,0.11091436,00:01.3,03:01.2,41693,,,
0.098347716,0.030395264,0.31676134,0.1395715,0.11015107,0.087790288,08:01.3,11:01.6,41693.01,,,
0.12765814,6.10E-06,0.28439,0.10211421,0.14904307,0.098913714,16:01.2,19:01.2,41693.01,,,
0.10839886,0.14900964,0.2177515,0.097462788,0.16453007,0.10070278,24:01.6,27:01.6,41693.02,,,
0.13555479,0.16182756,0.22427441,0.078050934,0.1151715,0.070812136,32:01.5,35:01.3,41693.02,,,
0.12562172,0.090584211,0.25542864,0.059970994,0.11357392,0.067966744,40:01.5,43:01.5,41693.03,,,
0.1401325,0.068479866,0.24958043,0.068884,0.12514165,0.064362362,48:01.6,51:01.6,41693.03,,,
0.1312055,0.12316793,0.25778684,0.099029362,0.13414314,0.056216657,56:01.5,59:01.5,41693.04,,,
0.088268928,0.17684507,0.23165171,0.028490329,0.079653218,0.050033763,00:01.3,03:01.2,41694,,,
0.09506271,0.21180257,0.19876499,0.064770065,0.094960712,0.040263183,08:01.3,11:01.6,41694.01,,,
0.086108357,0.30914336,0.188704,0.06521751,0.14375171,0.048376903,16:01.7,19:01.6,41694.01,,,
0.091719575,0.10227735,0.22639692,0.049075723,0.073681287,0.04106047,24:01.6,27:01.5,41694.02,,,
0.133517,0.21537727,0.16941065,0.074752711,0.11017493,0.032448214,32:01.7,35:01.6,41694.02,,,
0.10206214,0.28216106,0.16613264,0.10531943,0.057498574,0.034729823,40:01.6,43:01.5,41694.03,,,
0.087797716,0.25620979,0.15923843,0.065793999,0.11554407,0.021940336,48:01.6,51:01.5,41694.03,,,
0.11301185,0.18189679,0.19892414,0.085865572,0.070240878,0.022615314,56:01.6,59:01.6,41694.04,,,
0.13064143,0.32410529,0.29502615,0.094745286,0.051074795,0.030534515,00:01.3,03:01.2,41695,,,
0.13288821,0.36971492,0.22565657,0.068084762,0.20623086,0.045003023,08:01.3,11:01.2,41695.01,,,
0.14804257,0.15601757,0.279744,0.11324714,0.088942572,0.020310886,16:01.7,19:01.1,41695.01,,,
0.13275065,0.44812343,0.23350486,0.075403854,0.057758588,0.018202614,24:01.3,27:01.7,41695.02,,,
0.12627022,0.36257175,0.22971807,0.108305,0.11325064,0.046371721,32:01.4,35:01.3,41695.02,,,
0.13147429,0.37731609,0.26441371,0.18576692,0.06317009,0.022963408,40:01.6,43:01.6,41695.03,,,
0.1412397,0.29237494,0.21506907,0.12115365,0.11493465,0.0144737,48:01.5,51:01.5,41695.03,,,
0.15521164,0.14189586,0.28928888,0.096835859,0.059692279,0.004954724,56:01.5,59:01.5,41695.04,,,
0.19384235,0.24368972,0.23565665,0.25413921,0.071780071,0.054384418,00:01.2,03:01.1,41696,,,
0.21384756,0.14506644,0.26616928,0.17908657,0.07494586,0.023367357,08:01.3,11:01.2,41696.01,,,
0.21018265,0.19054128,0.27893329,0.24628149,0.094998576,0.033720128,16:01.3,19:01.1,41696.01,,,
0.18049915,0.11276257,0.28671265,0.23010164,0.1363285,0.023680521,24:01.6,27:01.5,41696.02,,,
0.18372442,0.16770793,0.29818234,0.19091235,0.10486978,0.032349501,40:01.7,43:01.6,41696.03,,,
0.16816022,0.21042173,0.26235858,0.14995015,0.075767785,0.033301912,48:01.4,51:01.3,41696.03,,,
0.16904114,0.21463042,0.28800201,0.16493058,0.082121782,0.024225706,56:01.7,59:01.2,41696.04,,,
0.097481288,0.17597915,0.1076915,0.058981393,0.031118194,0.002633526,01:10.3,03:00.3,41697,,,
0.098128714,0.26268572,0.13837564,0.060509469,0.042574693,0.003467767,09:11.0,11:00.6,41697.01,,,
0.097938426,0.13093957,0.21035656,0.033910722,0.05389905,0.014662693,17:10.7,19:00.8,41697.01,,,
0.10294414,0.20160943,0.18394114,0.050969645,0.062501594,0.004162993,25:11.1,27:00.7,41697.02,,,
0.12397943,1.85E-06,0.23215501,0.11266043,0.070012212,0.020800864,33:10.7,35:00.3,41697.02,,,
0.10142443,0.36658692,0.097936288,0.086330146,0.20683984,0.034922559,41:11.1,43:00.7,41697.03,,,
0.11029321,0.3465215,0.13274686,0.11925521,0.079446852,0.034909301,49:10.3,51:00.1,41697.03,,,
0.1095705,0.1859268,0.11393122,0.073499575,0.050947718,0.011292321,57:10.4,59:00.4,41697.04,,,
0.17208943,0.28851572,0.15474579,4.52E-07,1.66E-07,0.005435125,01:10.6,03:00.4,41698,,,
0.15968014,0.005345362,0.20512252,0.032307595,0.027106728,0.003377351,09:10.7,11:00.5,41698.01,,,
0.14168872,0.12244672,0.18848927,0.027426992,0.008034521,0.013835122,17:10.8,19:00.2,41698.01,,,
0.15200986,0.10819479,0.21829943,0.011168464,8.67E-07,0.009985757,25:10.7,27:00.5,41698.02,,,
0.16252072,0.012049622,0.20254223,4.10E-07,0.051815011,0.035704177,33:10.7,35:00.8,41698.02,,,
0.15450914,0.0415814,0.19327521,0.006212724,0.05333969,0.014499106,41:11.1,43:00.8,41698.03,,,
0.12669493,0.041142665,0.26267534,0.041281149,0.0662646,0.019956108,49:10.6,51:00.5,41698.03,,,
0.13634236,0.11004136,0.18342277,0.012921471,0.034424536,0.00027237,57:10.5,59:00.4,41698.04,,,
0.085071571,0.1188685,0.24778649,0.20249893,0.09358228,0.081164785,00:01.2,03:01.1,41699,,,
0.12541807,0.095644072,0.27149907,0.14811599,0.14181586,0.099703498,08:01.2,11:01.0,41699.01,,,
0.14066693,0.17166549,0.31291115,0.223875,0.23504221,0.1497225,16:01.2,19:01.1,41699.01,,,
0.12697421,0.42771778,0.2972585,0.26337448,0.28112191,0.15393028,24:01.2,27:01.1,41699.02,,,
0.12798542,0.19496015,0.23000242,0.16814815,0.16062878,0.11973957,32:01.1,35:01.0,41699.02,,,
0.13569885,0.21846414,0.26307556,0.16487649,0.15460879,0.095864713,40:01.3,43:01.2,41699.03,,,
0.1425437,0.1490185,0.32165757,0.16648136,0.19060402,0.13478272,48:01.1,51:01.0,41699.03,,,
0.11523292,0.24578229,0.2365365,0.13751222,0.10709507,0.075343505,56:01.1,59:01.1,41699.04,,,
0.046836026,6.83E-07,0.084936067,0.01166705,0.022985557,0.005254352,00:01.4,03:01.2,41700,,,
0.039429184,0.004055644,0.091547363,0.022680307,0.042657085,0.004206984,08:01.5,11:01.3,41700.01,,,
0.048466589,1.94E-07,0.091746718,0.009861751,0.024669606,0.005867779,16:01.4,19:01.2,41700.01,,,
0.04830882,0.020810414,0.090395071,0.020870978,0.041545905,0.058294911,24:01.4,27:01.2,41700.02,,,
0.039811593,0.094420217,0.052544292,0.018150778,0.009456436,0.011867058,32:01.4,35:01.2,41700.02,,,
0.047472384,0.075310424,0.089406364,0.003917387,0.044491414,0.006394272,40:01.4,43:01.2,41700.03,,,
0.043075293,1.26E-07,0.128297,0.016510786,0.03138987,0.006055945,48:01.6,51:01.5,41700.03,,,
0.059218664,0.011625485,0.074994788,0.018390771,0.033641331,0.10547328,56:01.3,59:01.2,41700.04,,,
0.18233836,0.26600099,0.26402336,0.059520487,0.13637629,0.058350168,00:01.1,03:01.1,41701,,,
0.18159515,0.14455922,0.27942729,0.065430328,0.12627521,0.026919471,08:01.1,11:01.1,41701.01,,,
0.17165257,0.46916148,0.22900543,0.053262115,0.13023408,0.045284297,16:01.1,19:01.0,41701.01,,,
0.14883222,0.38640669,0.22032957,0.063598283,0.17326921,0.063959092,24:01.5,27:01.0,41701.02,,,
0.16631964,0.28540358,0.23728228,0.038118642,0.10669179,0.038684312,32:01.0,35:01.1,41701.02,,,
0.17460957,0.21459772,0.22635722,0.043887522,0.092065856,0.04191472,40:01.3,43:01.3,41701.03,,,
0.16569464,0.19434808,0.25773871,0.006480289,0.093218289,0.031321023,48:01.0,51:01.1,41701.03,,,
0.173564,0.14844836,0.21876478,0.047148444,0.095801137,0.016978279,56:01.5,59:01.1,41701.04,,,
0.31741336,0.26614842,0.15145257,0.17856643,0.26281598,0.14381622,00:01.5,03:01.2,41702,,,
0.29505572,0.3059333,0.17486729,0.12916529,0.29179466,0.19979715,08:01.0,11:01.2,41702.01,,,
0.38171998,0.17056464,0.15105893,0.19385585,0.29911336,0.15769786,16:01.5,19:01.2,41702.01,,,
0.29514444,0.24576971,0.14152886,0.18520921,0.31125471,0.16251007,24:01.5,27:01.2,41702.02,,,
0.30392838,0.2205265,0.13918287,0.21054363,0.2619195,0.20776242,32:01.2,35:01.0,41702.02,,,
0.28941122,0.36840054,0.10902693,0.19100228,0.31204391,0.19333114,40:01.4,43:01.2,41702.03,,,
0.26413691,0.4565995,0.11680064,0.28368822,0.24986586,0.18637551,48:01.5,51:01.3,41702.03,,,
0.29269528,0.25701749,0.13665849,0.21430807,0.30826163,0.17254406,56:01.3,59:01.1,41702.04,,,
0.12935957,0.22320828,0.20496792,0.10268307,0.15464394,0.028242221,00:01.0,03:01.2,41703,,,
0.098024577,0.33816451,0.2152832,0.23907928,0.10805564,0.025807779,08:01.2,11:01.4,41703.01,,,
0.10129457,0.18963413,0.21403036,0.17118943,0.1862607,0.046897974,16:01.1,19:01.2,41703.01,,,
0.15142472,0.22109985,0.19850144,0.23013471,0.15804264,0.048089437,24:01.0,27:01.2,41703.02,,,
0.11869185,0.17504135,0.23732792,0.16510214,0.11633522,0.050837196,32:01.1,35:01.3,41703.02,,,
0.085079998,0.25759721,0.21225864,0.30591422,0.16457929,0.056568544,40:01.0,43:01.3,41703.03,,,
0.13088478,0.32319349,0.16518693,0.22422822,0.14773078,0.038585335,48:01.3,51:01.4,41703.03,,,
0.1210585,0.19730607,0.19253208,0.3691521,0.14137457,0.031889215,56:01.4,59:01.4,41703.04,,,
0.1005665,0.058074839,0.15010515,0.019850807,0.074347928,0.036327619,00:01.2,03:00.9,41704,,,
0.089323573,0.12848993,0.15238801,0.06870918,0.027402459,0.035042893,08:01.2,11:00.9,41704.01,,,
0.07553643,0.031609531,0.19479407,0.023863699,0.077854216,0.03288592,16:01.3,19:01.0,41704.01,,,
0.079597354,0.098095782,0.16593292,0.032859523,0.06072998,0.020874022,24:01.3,27:01.0,41704.02,,,
0.079067931,0.13732129,0.11710893,0.05623455,0.086543642,0.029217059,32:01.2,35:01.0,41704.02,,,
0.10323486,0.10232449,0.13289151,0.10180207,0.13259807,0.044635408,40:01.1,43:00.9,41704.03,,,
0.075119071,0.063766286,0.14154679,0.038754608,0.061260242,0.034148157,48:01.2,51:00.7,41704.03,,,
0.076706566,0.19050379,0.07024844,0.028494893,0.092410214,0.044363771,56:01.3,59:01.1,41704.04,,,
0.21145566,0.19343705,0.088172428,0.030074665,0.048745606,0.019189822,00:01.1,03:00.9,41706,,,
0.19164814,0.32726902,0.075636499,0.068165362,0.03928965,0.018162316,08:01.3,11:01.1,41706.01,,,
0.19301994,0.32786229,0.084760569,0.005436948,0.041613258,0.040983494,16:01.3,19:01.1,41706.01,,,
0.13713935,0.16027035,0.11700457,0.041335516,0.092570566,0.032883078,24:01.2,27:01.0,41706.02,,,
0.115341,0.37800941,0.053503156,0.029533522,0.054429423,0.055609483,32:01.1,35:00.9,41706.02,,,
0.097581714,0.15841292,0.11220621,0.041369669,0.058992308,0.039084665,40:01.1,43:01.0,41706.03,,,
0.091741137,0.25719243,0.085284784,0.028822722,0.048189722,0.028295251,48:01.2,51:01.1,41706.03,,,
0.092049494,0.17344007,0.088160001,0.079245858,0.083362639,0.026542122,56:01.2,59:01.0,41706.04,,,
0.28077564,0.51796466,0.075924575,0.084798068,0.10072979,0.037693013,00:01.3,03:01.3,41707,,,
0.26252088,0.44404051,0.11959878,0.04974794,0.091766857,0.052597549,08:00.9,11:01.5,41707.01,,,
0.274863,0.4442398,0.11328007,0.11582322,0.069816306,0.056990586,16:01.2,19:00.8,41707.01,,,
0.25957245,0.41270179,0.13327721,0.052606601,0.11862722,0.046789002,24:01.1,27:01.1,41707.02,,,
0.32434013,0.5367226,0.11174779,0.2589682,9.80E-08,1.00E-08,32:01.0,35:01.6,41707.02,,,
0.2499845,0.45675623,0.12806135,0.013164793,0.10194878,0.045603517,40:01.1,43:00.8,41707.03,,,
0.24369529,0.4877153,0.12035921,0.044078477,0.11560114,0.052777618,48:01.2,51:01.1,41707.03,,,
0.24340251,0.52020949,0.12708564,0.068958007,0.09394864,0.037712827,56:01.0,59:01.6,41707.04,,,
0.40009114,0.72823858,0.15863585,0.26117298,0.31590316,0.13139535,00:01.1,03:01.7,41708,,,
