File_num,Category,IOP,AMZ_date,BackTrajectory_Category
1218_1257,Sample,2,10/1/2014 13:50,
1218_1450,Sample,2,10/1/2014 18:15,
1218_1641,Sample,2,10/1/2014 22:10,
1219_0735,Sample,2,10/8/2014 2:05,
1219_0926,Sample,2,10/8/2014 6:00,
1219_1116,Sample,2,10/8/2014 9:55,Urban
1219_1355,Sample,2,10/8/2014 13:50,Urban
1219_1547,Sample,2,10/8/2014 18:15,Urban
1219_1738,Sample,2,10/8/2014 22:10,
1219_1929,Sample,2,10/9/2014 2:05,
1219_2120,Sample,2,10/9/2014 6:00,
1219_2312,Sample,2,10/9/2014 9:55,
1220_0103,Sample,2,10/9/2014 13:50,
1220_0445,Sample,2,10/9/2014 18:15,
1220_0637,Sample,2,10/9/2014 22:10,
1220_0828,Sample,2,10/10/2014 2:05,
1220_1020,Sample,2,10/10/2014 6:00,
1220_1211,Sample,2,10/10/2014 9:55,
1220_1420,Sample,2,10/10/2014 13:50,
1220_1612,Sample,2,10/10/2014 18:15,
1220_1802,Sample,2,10/10/2014 22:10,
1220_1951,Sample,2,10/11/2014 2:05,
1220_2140,Sample,2,10/11/2014 6:00,
1220_2329,Sample,2,10/11/2014 9:55,
