PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,PMF_total,time_start,time_end,time_start_num
1.9628828,4.0797944,2.1625271,0.50269389,1.7129444,0.73591298,11.15675551,28:01.5,31:01.3,41876.14
1.9840472,4.1376257,2.124383,0.59102929,1.5998443,0.68388784,11.1208173,36:01.4,39:01.3,41876.15
2.04474,4.3876114,2.1163187,0.57074386,1.6877656,0.77356344,11.58074296,44:01.5,47:01.3,41876.16
1.7607744,3.8690212,2.1781299,1.2952791,1.5288671,0.72857141,11.36064315,52:01.4,55:01.3,41876.16
1.7216944,3.6668386,2.2062144,1.1378143,1.3960027,0.72284228,10.85140663,16:01.3,19:01.3,41876.18
1.8200271,3.6413271,2.1311629,0.78674799,1.5084786,0.76529777,10.65304154,24:01.3,27:01.3,41876.18
1.6636486,3.4479914,2.402477,1.0995872,1.2979095,0.71689063,10.62850434,32:01.4,35:01.4,41876.19
1.9195514,3.88714,2.19677,0.001894629,1.7161143,0.87571698,10.59718726,40:01.6,43:01.2,41876.19
1.6150786,3.7068129,1.9604986,1.0297756,1.4892014,0.72254044,10.52390748,48:01.3,51:01.3,41876.20
1.5686985,3.4242344,1.9344786,0.47310901,1.5156758,0.72217727,9.638373613,56:01.4,59:01.4,41876.21
1.4424987,3.4166071,1.9030671,0.90554482,1.2580777,0.58513683,9.510932326,04:01.3,07:01.4,41876.21
1.8278086,3.7818472,2.164763,0.090083711,1.5325315,0.76360703,10.16064107,12:01.6,15:01.3,41876.22
1.6126914,3.7882199,2.1380827,0.43363473,1.4590815,0.7625643,10.19427463,20:01.7,23:01.3,41876.22
1.7826743,3.6506286,2.1261871,0.14316215,1.5130171,0.75358868,9.969257846,28:01.3,31:01.4,41876.23
1.3328774,3.5199258,1.9418185,1.8309386,1.0779648,0.68361616,10.38714123,36:01.7,39:01.3,41876.23
1.8250085,3.6935701,2.0346298,0.20384356,1.6321572,0.78613973,10.17534897,44:01.7,47:01.4,41876.24
1.8736686,4.0257874,2.0273886,0.44849971,1.7812315,0.81701314,10.97358885,52:01.6,55:01.3,41876.24
