"","Compound.Name","Rownum","sum_rawvol","sum_ISrawnormvol","sum_ISnormnormvol","n_occur","cumsum_raw","cumsum_ISrawnorm","num_pct","cumsum_ISnormnorm","raw_cumsum","ISrawnorm_cumsum"
"342","1202_1412_blob_1033",342,26981.4684450311,0.0196904276599968,539.347194477994,36,0.000293070444491964,5.91136169634087e-05,0.25811320754717,8.51720179246572e-05,0.925045650453693,0.927005686439965
"343","1129_1334_blob_1126",343,26913.4385785643,0.0599312898354682,868.803273543496,82,0.000292331509795182,0.000179922720452354,0.258867924528302,0.000137198688979677,0.925337981963488,0.927185609160417
"344","1129_1334_blob_1095",344,26901.6310878219,0.0695167916959887,456.975851183465,25,0.000292203257822267,0.000208699834650641,0.259622641509434,7.21641936522979e-05,0.925630185221311,0.927394308995068
"345","1129_1334_blob_1020",345,26872.8325349429,0.159483463809757,2283.28355183157,113,0.000291890450359243,0.00047879327734465,0.260377358490566,0.000360568979675315,0.92592207567167,0.927873102272412
"346","1213_2145_blob_874",346,26693.3053891031,0.383943303853196,1834.92740404117,69,0.000289940441576851,0.00115265538116033,0.261132075471698,0.000289765982557301,0.926212016113247,0.929025757653573
"347","1128_1901_blob_906",347,26692.5019173386,0.0465495174272874,1307.56443816398,65,0.000289931714334016,0.000139748632713477,0.26188679245283,0.000206486476438863,0.926501947827581,0.929165506286286
"348","1128_1901_blob_1569",348,26670.2187810638,0.0240180653059564,1011.48910614851,47,0.000289689676779017,7.21058342263895e-05,0.262641509433962,0.000159731188298581,0.92679163750436,0.929237612120512
"349","1128_1901_blob_34",349,26599.038362938,0.0140422688450575,444.340593526189,1,0.000288916521054681,4.21569971022189e-05,0.263396226415094,7.01688733786665e-05,0.927080554025415,0.929279769117615
"350","1221_0832_blob_834",350,26215.982646103,0.0442436841670934,1179.21518486885,14,0.000284755802025369,0.000132826175442449,0.264150943396226,0.000186217964774776,0.92736530982744,0.929412595293057
"351","1202_1412_blob_1067",351,26184.1367858141,0.0258380324370085,327.245447440475,26,0.000284409894965155,7.75696485085737e-05,0.264905660377358,5.1677575039838e-05,0.927649719722405,0.929490164941566
"352","1221_0832_blob_1084",352,25977.8361437101,0.171508311271652,1122.55457532958,78,0.000282169074714635,0.000514893672886086,0.265660377358491,0.000177270298965609,0.92793188879712,0.930005058614452
"353","1221_0832_blob_1086",353,25955.77660315,0.0322574429066721,464.981839995062,19,0.000281929465837512,9.68416815079147e-05,0.266415094339623,7.34284743040698e-05,0.928213818262957,0.93010190029596
"354","1129_1334_blob_1271",354,25818.7704029641,0.0131122178123221,456.310678566732,38,0.000280441315996133,3.93648444148886e-05,0.267169811320755,7.2059151678194e-05,0.928494259578953,0.930141265140375
"355","1129_1334_blob_1301",355,25761.8396692478,0.161358635144649,2141.13004480705,84,0.000279822939147242,0.000484422822926172,0.267924528301887,0.000338120543543068,0.928774082518101,0.930625687963301
"356","1202_1412_blob_767",356,25711.5483908484,0.0166299957733441,692.9528370449,28,0.000279276679504457,4.99257414426686e-05,0.268679245283019,0.00010942893939562,0.929053359197605,0.930675613704743
"357","1129_1334_blob_1274",357,25705.169517038,0.0132591620987667,304.082521119144,28,0.000279207392712793,3.98059932011843e-05,0.269433962264151,4.80197583384138e-05,0.929332566590318,0.930715419697945
"358","1221_0832_blob_895",358,25524.8108424792,0.0912794912655264,1339.8928428218,24,0.000277248351935282,0.000274034722681387,0.270188679245283,0.000211591676742455,0.929609814942253,0.930989454420626
"359","1221_0832_blob_749",359,25490.6292142752,0.0793921378944171,1156.43265824014,43,0.000276877073960119,0.000238347105021561,0.270943396226415,0.000182620219600135,0.929886692016213,0.931227801525648
"360","1202_0046_blob_1144",360,25249.3124154722,0.020245341948123,562.020493047814,48,0.000274255911156001,6.0779552881218e-05,0.271698113207547,8.87525141467038e-05,0.930160947927369,0.931288581078529
"361","1128_1901_blob_37",361,25161.2049722147,0.0121291364978518,434.546645017459,2,0.000273298895506125,3.64134868684223e-05,0.272452830188679,6.86222437373535e-05,0.930434246822875,0.931324994565397
"362","1128_1901_blob_1385",362,25159.9902832205,0.0104174494110158,513.263168443176,55,0.000273285701656273,3.12747455185835e-05,0.273207547169811,8.10529103150683e-05,0.930707532524532,0.931356269310916
"363","1221_0832_blob_1019",363,25101.8209353749,0.11222477952126,1633.56724308605,33,0.000272653871084722,0.000336915619354498,0.273962264150943,0.000257967817268279,0.930980186395616,0.93169318493027
"364","1221_0832_blob_902",364,24985.5845608367,0.0379406384432229,1608.21209149969,35,0.000271391321345391,0.000113903486862114,0.274716981132075,0.000253963811226335,0.931251577716962,0.931807088417132
"365","1128_1901_blob_739",365,24968.7559752284,0.263660866834889,2080.05553474439,39,0.000271208530661687,0.000791549465529509,0.275471698113208,0.000328475848402249,0.931522786247623,0.932598637882662
"366","1202_1412_blob_1392",366,24936.4356747637,0.0173329266355849,479.825451266406,29,0.000270857470272124,5.2036045315178e-05,0.27622641509434,7.57725308565344e-05,0.931793643717896,0.932650673927977
