"","Compound.Name","anthrovol","bbvol","cluster_vol.z1","cluster_vol.z2","cluster_vol.z3","cluster_vol.z4","cluster_vol.z5","cluster_vol.z6","cluster_vol.z7","cluster_vol.z8","cluster_vol.z9","AMS_PMF_1","AMS_PMF_2","AMS_PMF_3","AMS_PMF_4","AMS_PMF_5","AMS_PMF_6","cluster","max_corr"
"11","1128_1901_blob_1052",-0.13978650028445,-0.21289153099591,0.320611277945672,-0.153414321498032,-0.00800175390298551,0.0735545309803312,0.0964902914154222,0.201929961169897,0.0964902914154222,-0.0652793124203359,0.223464646186275,-0.113390532601797,-0.0684453456802115,-0.170536850178479,-0.25028705132994,-0.308978964740395,-0.179059558914466,NA,"cluster_vol.z1"
"12","1128_1901_blob_1056",-0.0245329119392094,-0.0824867441729399,0.600221502629934,-0.0148703486972559,0.131611969276122,-0.0211624232463238,0.0165478057123659,0.000605590233972553,0.0165478057123659,0.00571115056107372,-0.000305878941420407,0.0451135979437613,0.12983937385595,-0.152063265242004,-0.096047266205826,-0.134356267091146,-0.0852705735562387,NA,"cluster_vol.z1"
"13","1128_1901_blob_1062",-0.00503198324520121,-0.087871319486568,0.582490473157144,-0.01263397426307,0.168200472012184,-0.0521702142025315,-0.00629085855320459,-0.0186093247445794,-0.00629085855320459,-0.0147799356154846,-0.017157617559728,0.0190729871340509,0.13938215485878,-0.103092511817261,-0.110153626435691,-0.0905837813305923,-0.0774445632737658,NA,"cluster_vol.z1"
"14","1128_1901_blob_1066",0.626735277435536,0.601256416001573,0.594035768562407,0.804263503272461,0.583169525217183,-0.347141650062505,-0.0506789175333697,0.077795447987737,-0.0506789175333697,0.652983049103201,-0.0259617891312472,0.733363449418945,0.524687454453518,0.436155304793912,0.25854192995189,0.61000717878187,0.00985838325354126,NA,"cluster_vol.z2"
"15","1128_1901_blob_1073",0.375221806111338,0.255754317296923,0.533482833332587,0.50083326833504,0.32938443136661,-0.12911469936231,-0.113828600990346,0.128166908365819,-0.113828600990346,0.347679780450134,0.0775386565128198,0.641250711052827,0.362453800804326,-0.0266877420317942,0.00623188853027793,0.236760717182978,0.0634321862560619,NA,"cluster_vol.z1"
"16","1128_1901_blob_1075",0.240921927257259,0.0249055065002757,0.0360271244973386,0.166448692299365,0.30769781673444,-0.0441541225536351,0.199792064194269,-0.0402939521715971,0.199792064194269,0.041985849906733,-0.0493763412866858,0.10193803870088,0.211184479502143,0.271467642592844,-0.1307150592109,0.219923633851724,-0.0762230913504068,NA,"cluster_vol.z3"
"17","1128_1901_blob_1076",0.254164562394523,0.340011702493444,0.631657002214938,0.348044342745399,0.334646826216622,-0.275585568804609,-0.103990861241316,-0.0749606160556948,-0.103990861241316,0.234153887985582,-0.117641770429076,0.275019424974052,0.470245317228803,0.0184749398507467,0.240035104456963,0.202439910178476,-0.0209862773096264,NA,"cluster_vol.z1"
"18","1128_1901_blob_1079",0.471198775486289,0.627489360363174,0.392645788734949,0.754255570427948,0.674257101671024,-0.181885830533647,-0.0971479216085086,0.178843626581288,-0.0971479216085086,0.768088066486541,0.0614450349318182,0.802950487089707,0.445322937578187,0.543677253624571,0.476468306154429,0.666327032075049,0.189618190271036,NA,"cluster_vol.z8"
"19","1128_1901_blob_1081",-0.0245329119392094,-0.0824867441729399,0.600221502629934,-0.0148703486972559,0.131611969276122,-0.0211624232463238,0.0165478057123659,0.000605590233972553,0.0165478057123659,0.00571115056107372,-0.000305878941420407,0.0451135979437613,0.12983937385595,-0.152063265242004,-0.096047266205826,-0.134356267091146,-0.0852705735562387,NA,"cluster_vol.z1"
"20","1128_1901_blob_1082",0.227050178604362,-0.0721838960465912,0.263921330226316,0.196926313022827,0.177659208990962,-0.190720036873815,0.0583152154116757,-0.0228622082279012,0.0583152154116757,0.139919612483072,-0.0471992062896989,0.120751027249755,0.176660475105347,0.349705619413735,-0.209852467613268,-0.0415694764503082,-0.171591195982734,NA,"cluster_vol.z1"
"21","1128_1901_blob_1085",0.354461389974317,0.204676229021086,0.462126412767259,0.496755829544987,0.561784754970288,-0.27048134892944,-0.0591886228613786,-0.0723668276950635,-0.0591886228613786,0.355174473316448,-0.134907197854116,0.556075224425662,0.40913836314912,0.345182452169418,0.0774100777082116,0.351818769921906,-0.0813696096028266,NA,"cluster_vol.z3"
"22","1128_1901_blob_1087",-0.199813193830739,-0.257139815037727,-0.164969145676145,-0.293335928631472,-0.221397685129731,0.435355190543537,0.180650371441724,0.00667149329450483,0.180650371441724,-0.193091797551718,0.0389328147990099,-0.197392331260942,-0.123537824038609,-0.293641834387239,-0.109529487711929,-0.310607922975389,-0.0251976222327072,NA,"cluster_vol.z4"
"23","1128_1901_blob_1091",0.0397863284415522,0.508675599044462,0.0670536149927308,0.263807356484371,0.2885978297599,-0.131912880916702,-0.114417341720974,0.241165334467454,-0.114417341720974,0.366800279563016,0.193392146687988,0.20397025927445,0.185195232132152,0.0426148804193934,0.3135813745384,0.323631904121489,0.154114888563579,NA,"bbvol"
"24","1128_1901_blob_1093",0.645899362368402,0.762457551074771,0.415650266953474,0.815428661928694,0.653786468889361,-0.26267100404912,-0.0988618962856325,0.141249158357459,-0.0988618962856325,0.677140785575838,0.0368775481791594,0.678511604921759,0.512159825795732,0.554186766270458,0.490338396377037,0.770452883637388,0.198631712045472,NA,"cluster_vol.z2"
