,Compound.Name,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,bbvol,anthrovol,cluster,Assigned_cluster,bb_vs_a
1052,1221_0832_blob_933,0.642344663,0.890742635,0.426421726,-0.01984673,0.159963862,0.053325836,0.374568603,0.904656189,NA,2a,-0.530087586
412,1129_1334_blob_1662,0.641700025,0.606554902,0.055853741,-0.13453787,-0.040732022,-0.049647793,0.17094319,0.723475845,NA,,-0.552532655
774,1213_2145_blob_1229,0.641695609,0.650349879,0.090990727,-0.071485569,0.059232126,-0.023669558,0.378070902,0.743817565,NA,,-0.365746664
179,1128_1901_blob_673,0.640108614,0.826668409,0.572714522,-0.344812694,-0.066815332,-0.139143443,0.475306687,0.747679502,NA,,-0.272372815
933,1221_0832_blob_672,0.639998964,0.81060993,0.287683912,-0.097358286,0.147575475,-0.036956664,0.286891519,0.90384468,NA,2a,-0.616953161
345,1129_1334_blob_1205,0.638692496,0.824187469,0.582703576,-0.273156791,-0.018390912,-0.001684911,0.419071701,0.776260256,NA,,-0.357188556
703,1202_1412_blob_729,0.636351649,0.734415282,0.488479658,-0.283948596,-0.063224399,0.020754366,0.417585703,0.706232725,NA,,-0.288647022
911,1221_0832_blob_581,0.636282107,0.893650263,0.454050848,-0.144642324,0.099972974,-0.027207451,0.456375436,0.956800058,2,2a,-0.500424622
98,1128_1901_blob_1322,0.635164688,0.846428292,0.380197631,-0.131248386,0.111781463,-0.02550277,0.369292453,0.891165382,NA,2a,-0.521872929
567,1202_1412_blob_1021,0.634565091,0.286344305,0.436694358,-0.23931599,-0.101700634,0.060153901,0.148458452,0.157103072,NA,,-0.00864462
951,1221_0832_blob_709,0.633724269,0.49117461,0.366919882,-0.058632753,-0.05249443,0.069128032,0.119278012,0.439378487,NA,,-0.320100475
371,1129_1334_blob_1374,0.632518133,0.582999767,0.213654184,0.050753963,0.120732109,-0.011423209,0.43510867,0.552491558,NA,,-0.117382888
17,1128_1901_blob_1076,0.631657002,0.348044343,0.334646826,-0.275585569,-0.103990861,-0.074960616,0.340011702,0.254164562,NA,,0.08584714
192,1128_1901_blob_735,0.63137345,0.627466116,0.132806533,0.065838139,0.223905926,-0.100837647,0.282683858,0.75584161,NA,,-0.473157752
519,1202_0046_blob_1539,0.631166086,0.868815556,0.299368746,-0.110574441,0.193857558,0.026076724,0.356613838,0.900222718,NA,2a,-0.54360888
471,1129_1334_blob_991,0.630621976,0.635381691,0.027578638,-0.094759946,0.21555862,-0.08903694,0.212884642,0.770096188,NA,,-0.557211546
358,1129_1334_blob_1297,0.627839109,0.579417674,0.117098938,-0.141450929,0.01098375,0.034114707,0.294348243,0.607284456,NA,,-0.312936213
542,1202_0046_blob_647,0.627631186,0.881037633,0.450038684,-0.240448556,0.014307591,-0.006465425,0.391571532,0.92738524,NA,2a,-0.535813708
695,1202_1412_blob_628,0.627268397,0.890470239,0.482489669,-0.161282801,0.06101516,-0.005216514,0.469077999,0.931004637,NA,2a,-0.461926638
941,1221_0832_blob_687,0.624423983,0.871227975,0.464553309,-0.186657787,0.059395407,0.077297853,0.469109628,0.838777645,2,2a,-0.369668018
1105,cluster_vol.z2,0.624376279,1,0.63018694,-0.170892122,0.021538587,0.13695001,0.685648396,0.865980385,NA,2a,-0.180331989
304,1129_1334_blob_1043,0.623919919,0.659886312,0.027947786,-0.135206339,0.119238205,-0.078685515,0.258708501,0.795554402,NA,,-0.536845901
376,1129_1334_blob_1390,0.622445844,0.769504817,0.24279764,-0.185448839,0.081828717,-0.027296722,0.185663825,0.831374575,NA,2a,-0.64571075
193,1128_1901_blob_739,0.621348034,0.46495387,0.130279838,0.145116821,0.225095428,0.002427312,0.32305907,0.500900865,NA,,-0.177841796
1063,1221_0832_blob_961,0.621126297,0.905895938,0.504458431,-0.186670726,0.13493764,-0.015752386,0.457980852,0.902080345,NA,2a,-0.444099493
959,1221_0832_blob_723,0.620253024,0.857955206,0.538452059,-0.081512119,0.12825178,0.130339127,0.36617059,0.788648654,NA,,-0.422478064
351,1129_1334_blob_1236,0.619741371,0.745913215,0.210478385,-0.153598423,0.095058782,-0.035194155,0.25166349,0.837293653,NA,2a,-0.585630164
102,1128_1901_blob_1336,0.619712314,0.762730537,0.412815498,-0.175555377,-0.110851891,0.141920913,0.346386978,0.65228644,NA,,-0.305899462
428,1129_1334_blob_601,0.618874485,0.632250567,0.002446518,-0.064188706,0.18817416,-0.109575494,0.183193744,0.794803666,NA,,-0.611609922
793,1213_2145_blob_659,0.618178928,0.662847506,0.036611122,-0.137719397,0.077761409,-0.072063225,0.272139661,0.806369233,NA,2a,-0.534229571
380,1129_1334_blob_1419,0.617198133,0.790886414,0.21556299,-0.175695953,0.104912766,0.053613474,0.303689084,0.786567335,NA,,-0.482878251
587,1202_1412_blob_1163,0.615198837,0.034748766,0.216250439,-0.04189949,0.009229602,0.013419693,-0.038968982,0.005154303,NA,,-0.044123285
608,1202_1412_blob_1325,0.614943994,0.753919451,0.563688542,-0.313364081,-0.081985436,-0.011774512,0.29356261,0.687417813,NA,,-0.393855203
714,1202_1412_blob_794,0.614509289,0.889855189,0.509419353,-0.21644948,0.068837238,-0.003775246,0.425230665,0.876766463,NA,2a,-0.451535798
734,1202_1412_blob_961,0.613587601,0.771007942,0.351435063,-0.202418497,0.120576982,0.083653113,0.308634434,0.735902161,NA,,-0.427267726
28,1128_1901_blob_1103,0.613491758,0.815110878,0.588325013,-0.212246548,-0.021621697,0.190616842,0.523339032,0.641049231,NA,,-0.117710198
439,1129_1334_blob_675,0.613328278,0.640230491,0.014222842,-0.117541422,0.135904421,-0.104524236,0.208665783,0.80044537,NA,2a,-0.591779586
50,1128_1901_blob_1156,0.612921711,0.754394291,0.50782457,-0.335858422,-0.067774929,-0.107054964,0.450363253,0.597264989,NA,,-0.146901735
213,1128_1901_blob_811,0.60845391,0.642586152,0.68426609,-0.257481216,0.049386146,0.062722812,0.395846718,0.547094465,NA,,-0.151247747
222,1128_1901_blob_844,0.60781725,0.562288705,0.029433482,-0.106866936,0.084783228,-0.151349789,0.136145547,0.775520619,NA,,-0.639375073
313,1129_1334_blob_1075,0.607705912,0.622954784,0.002082329,-0.105193416,0.113460377,-0.105773529,0.15636583,0.77792553,NA,,-0.621559699
129,1128_1901_blob_1480,0.607239164,0.816735645,0.40225883,-0.187294157,0.057538607,0.036757668,0.292266222,0.766851746,NA,,-0.474585524
767,1213_2145_blob_1051,0.605962113,0.606761028,0.03850778,-0.144905794,-0.032451738,-0.078859719,0.190557834,0.758673039,NA,,-0.568115205
1003,1221_0832_blob_823,0.604893899,0.307145704,0.370894676,-0.193316738,0.09329024,-0.101246363,0.095859635,0.297945093,1,1,-0.202085458
370,1129_1334_blob_1368,0.603618429,0.851062223,0.656546178,-0.303757296,-0.106063026,0.065651631,0.51309047,0.748207074,NA,,-0.235116604
314,1129_1334_blob_1080,0.601043573,0.854020181,0.359888874,-0.143146338,0.052036415,0.132334437,0.407001652,0.784037098,NA,,-0.377035445
432,1129_1334_blob_635,0.600451836,0.592788525,0.288255917,-0.183739049,-0.124906155,0.074891039,0.287195795,0.544569757,NA,,-0.257373962
945,1221_0832_blob_694,0.600312567,0.634849063,0.001059855,0.012750758,0.207334206,-0.10595173,0.19163013,0.824528831,NA,2a,-0.632898701
12,1128_1901_blob_1056,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
19,1128_1901_blob_1081,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
25,1128_1901_blob_1095,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
29,1128_1901_blob_1105,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
37,1128_1901_blob_1123,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
40,1128_1901_blob_1127,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
49,1128_1901_blob_1155,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
52,1128_1901_blob_1159,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
65,1128_1901_blob_1206,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
68,1128_1901_blob_1219,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
69,1128_1901_blob_1220,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
76,1128_1901_blob_1240,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
78,1128_1901_blob_1252,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
81,1128_1901_blob_1267,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
84,1128_1901_blob_1276,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
86,1128_1901_blob_1280,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
87,1128_1901_blob_1284,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
88,1128_1901_blob_1292,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
96,1128_1901_blob_1312,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
100,1128_1901_blob_1332,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
115,1128_1901_blob_1389,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
122,1128_1901_blob_1458,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
131,1128_1901_blob_1499,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
133,1128_1901_blob_1509,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
137,1128_1901_blob_1534,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
143,1128_1901_blob_1589,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
144,1128_1901_blob_1603,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
