BlobID,Compound.Name,Library Name,Library Match Factor,Library Reverse Match Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
537,20200803_1535_blob_537_oil,caice_ssa_final_0803_1535,999,999,,,,2409.009009,,17-Pentatriacontene,831,831,,C35H70,490,,,,
541,20200803_1535_blob_541_oil,caice_ssa_final_0803_1535,999,999,,,,2418.018018,,17-Pentatriacontene,831,831,,C35H70,490,,,,
625,20200803_1535_blob_625_oil,caice_ssa_final_0803_1535,999,999,,,,2328.333333,,17-Pentatriacontene,831,831,,C35H70,490,,,,
484,20200803_1535_blob_484_oil,caice_ssa_final_0803_1535,999,999,,,,2348.333333,,"Tetracosane, 11-decyl-",830,831,,C34H70,478,,,,
554,20200803_1535_blob_554_oil,caice_ssa_final_0803_1535,999,999,,,,2370,,17-Pentatriacontene,830,830,,C35H70,490,,,,
681,20200803_1535_blob_681_,caice_ssa_final_0803_1535,999,999,,,,2318.333333,,11H-Benzo[b]fluorene,830,880,,C17H12,216,,,,
846,20200803_1535_blob_846_,caice_ssa_final_0803_1535,999,999,,,,1941.666667,,"1H-Cyclopropa[l]phenanthrene,1a,9b-dihydro-",830,863,,C15H12,192,,,,
495,20200803_1535_blob_495_oil,caice_ssa_final_0803_1535,999,999,,,,2432.432432,,17-Pentatriacontene,829,829,,C35H70,490,,,,
714,20200803_1535_blob_714_,caice_ssa_final_0803_1535,999,999,,,,2221.666667,,"Phenanthrene, 2,3,5-trimethyl-",829,872,,C17H16,220,,,,
758,20200803_1535_blob_758_,caice_ssa_final_0803_1535,999,999,,,,2067.175573,,"Phenanthrene, 1,7-dimethyl-",829,901,2051,C16H14,206,,,,
521,20200803_1535_blob_521_oil,caice_ssa_final_0803_1535,999,999,,,,2414.414414,,17-Pentatriacontene,828,828,,C35H70,490,,,,
757,20200803_1535_blob_757_,caice_ssa_final_0803_1535,999,999,,,,2215,,"Phenanthrene, 2,3,5-trimethyl-",828,872,,C17H16,220,,,,
451,20200803_1535_blob_451_,caice_ssa_final_0803_1535,999,999,,,,2847.42268,,"Decanedioic acid, bis(2-ethylhexyl) ester",827,915,2778,C26H50O4,426,,,,
516,20200803_1535_blob_516_oil,caice_ssa_final_0803_1535,999,999,,,,2358.333333,,17-Pentatriacontene,824,824,,C35H70,490,,,,
713,20200803_1535_blob_713_oil,caice_ssa_final_0803_1535,999,999,,,,2220,,"Cyclohexane, (1-hexyltetradecyl)-",824,834,,C26H52,364,,,,
637,20200803_1535_blob_637_oil,caice_ssa_final_0803_1535,999,999,,,,2335,,17-Pentatriacontene,823,823,,C35H70,490,,,,
1022,20200803_1535_blob_1022_,caice_ssa_final_0803_1535,999,999,,,,1665.822785,,"4-tert-Octylphenol, TMS derivative",823,934,1631,C17H30OSi,278,,,,
579,20200803_1535_blob_579_oil,caice_ssa_final_0803_1535,999,999,,,,2457.657658,,17-Pentatriacontene,822,822,,C35H70,490,,,,
639,20200803_1535_blob_639_oil,caice_ssa_final_0803_1535,999,999,,,,2331.666667,,17-Pentatriacontene,821,822,,C35H70,490,,,,
648,20200803_1535_blob_648_oil,caice_ssa_final_0803_1535,999,999,,,,2306.666667,,17-Pentatriacontene,821,821,,C35H70,490,,,,
853,20200803_1535_blob_853_,caice_ssa_final_0803_1535,999,999,,,,2108.396947,,"Heneicosane, 11-(1-ethylpropyl)-",821,829,,C26H54,366,,,,
551,20200803_1535_blob_551_oil,caice_ssa_final_0803_1535,999,999,,,,2450.45045,,17-Pentatriacontene,820,820,,C35H70,490,,,,
661,20200803_1535_blob_661_oil,caice_ssa_final_0803_1535,999,999,,,,2290,,17-Pentatriacontene,820,820,,C35H70,490,,,,
1012,20200803_1535_blob_1012_,caice_ssa_final_0803_1535,999,999,,,,2851.546392,,"Eicosane, 7-hexyl-",820,834,,C26H54,366,,,,
1315,20200803_0949_blob_1315_,caice_ssa_final_0805_0949,999,999,,,,1309.032713,,"Formamide, N,N-dibutyl-",819,838,1310,C9H19NO,157,,,,
453,20200803_1535_blob_453_,caice_ssa_final_0803_1535,999,999,,,,1659.493671,,"Cyclooctasiloxane, hexadecamethyl-",818,867,1704,C16H48O8Si8,592,,,,
469,20200803_1535_blob_469_oil,caice_ssa_final_0803_1535,999,999,,,,2376.666667,,"Heneicosane, 11-(1-ethylpropyl)-",818,823,,C26H54,366,,,,
623,20200803_1535_blob_623_oil,caice_ssa_final_0803_1535,999,999,,,,2464.864865,,17-Pentatriacontene,817,817,,C35H70,490,,,,
1249,20200803_0949_blob_1249_,caice_ssa_final_0805_0949,999,999,,,,1278.126131,,"Silanol, trimethyl-, phosphate (3:1)",817,836,1286,C9H27O4PSi3,314,,,,
1827,20200803_0949_blob_1827_,caice_ssa_final_0805_0949,999,999,,,,1497.727273,,"1H-Isoindole-1,3(2H)-dione, N-ethyl-",817,865,,C10H9NO2,175,,,,
556,20200803_1535_blob_556_,caice_ssa_final_0803_1535,999,999,,,,2015.267176,,"9,10-Anthracenedione",816,904,1950,C14H8O2,208,,,,
807,20200803_1535_blob_807_,caice_ssa_final_0803_1535,999,999,,,,2094.656489,,"Anthracene, 1,4-dimethyl-",816,868,,C16H14,206,,,,
866,20200803_1535_blob_866_,caice_ssa_final_0803_1535,999,999,,,,1777.21519,,"Octanal, 2-(phenylmethylene)-",816,831,1750,C15H20O,216,,,,
678,20200803_1535_blob_678_oil,caice_ssa_final_0803_1535,999,999,,,,2253.333333,,Pentyl dotriacontyl ether,815,844,,C37H76O,536,,,,
855,20200803_1535_blob_855_,caice_ssa_final_0803_1535,999,999,,,,2018.320611,,"4-Hydroxydiphenylamine, O-trimethylsilyl-",815,851,,C15H19NOSi,257,,,,
1164,20200803_1535_blob_1164_,caice_ssa_final_0803_1535,999,999,,,,1601.265823,,"1-Oxaspiro[2.5]octane, 5,5-dimethyl-4-(3-methyl-1,3-butadienyl)-",815,821,,C14H22O,206,,,,
1393,20200803_0949_blob_1393_,caice_ssa_final_0805_0949,999,999,,,,1537.5,,"Quinoline, 2,4,6-trimethyl-",814,832,1532,C12H13N,171,,,,
482,20200803_1535_blob_482_oil,caice_ssa_final_0803_1535,999,999,,,,2351.666667,,Pentyl dotriacontyl ether,813,840,,C37H76O,536,,,,
647,20200803_1535_blob_647_oil,caice_ssa_final_0803_1535,999,999,,,,2303.333333,,"Ethanol, 2-(octadecyloxy)-",813,823,,C20H42O2,314,,,,
691,20200803_1535_blob_691_oil,caice_ssa_final_0803_1535,999,999,,,,2189.312977,,1-Dimethylthexylsilyloxyoctadecane,813,835,,C26H56OSi,412,,,,
815,20200803_1535_blob_815_,caice_ssa_final_0803_1535,999,999,,,,2100.763359,,"Anthracene, 1,4-dimethyl-",813,874,,C16H14,206,,,,
1052,20200803_1535_blob_1052_,caice_ssa_final_0803_1535,999,999,,,,1606.329114,,"Fumaric acid, butyl isobutyl ester",813,842,,C12H20O4,228,,,,
11,20200803_1535_blob_11_,caice_ssa_final_0803_1535,999,999,,,,1970.833333,,"Homosalate, TMS derivative",812,837,1998,C19H30O3Si,334,,,,
667,20200803_1535_blob_667_oil,caice_ssa_final_0803_1535,999,999,,,,2285,,17-Pentatriacontene,812,812,,C35H70,490,,,,
1421,20200803_1535_blob_1421_,caice_ssa_final_0803_1535,999,999,,,,1707.594937,,ç?-Dodecalactone,812,860,1678,C12H22O2,198,,,,
638,20200803_1535_blob_638_oil,caice_ssa_final_0803_1535,999,999,,,,2479.279279,,17-Pentatriacontene,810,811,,C35H70,490,,,,
684,20200803_1535_blob_684_oil,caice_ssa_final_0803_1535,999,999,,,,2263.333333,,"Eicosane, 9-cyclohexyl-",810,817,,C26H52,364,,,,
698,20200803_1535_blob_698_,caice_ssa_final_0803_1535,999,999,,,,2169.465649,,"Benzene, 1,1'-(1,3-butadiyne-1,4-diyl)bis-",810,862,,C16H10,202,,,,
642,20200803_1535_blob_642_oil,caice_ssa_final_0803_1535,999,999,,,,2473.873874,,17-Pentatriacontene,808,809,,C35H70,490,,,,
