Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_744_,2087.022901,"10,18-Bisnorabieta-8,11,13-triene",845,887,,C18H26,242
20200803_1535_blob_693_,1725.316456,"Benzothiazole, 2-butyl-",844,872,,C11H13NS,191
20200803_1535_blob_514_oil,2423.423423,17-Pentatriacontene,841,841,,C35H70,490
20200803_1535_blob_947_,2033.587786,Eicosane,839,883,2000,C20H42,282
20200803_1535_blob_1349_,1363.220523,"Salicylic acid, TMS derivative",839,848,1357,C10H14O3Si,210
20200803_1535_blob_550_oil,2390,17-Pentatriacontene,837,837,,C35H70,490
20200803_1535_blob_598_oil,2313.333333,"Heneicosane, 11-(1-ethylpropyl)-",837,843,,C26H54,366
20200803_1535_blob_652_oil,2270,"Heneicosane, 11-(1-ethylpropyl)-",835,838,,C26H54,366
20200803_1535_blob_506_oil,2386.666667,17-Pentatriacontene,834,834,,C35H70,490
20200803_1535_blob_849_,1831.944444,Phenanthridine,834,893,1832,C13H9N,179
20200803_1535_blob_568_oil,2363.333333,17-Pentatriacontene,832,833,,C35H70,490
20200803_1535_blob_843_,1643.037975,N-n-Butylphthalimide,832,840,,C12H13NO2,203
20200803_1535_blob_537_oil,2409.009009,17-Pentatriacontene,831,831,,C35H70,490
20200803_1535_blob_541_oil,2418.018018,17-Pentatriacontene,831,831,,C35H70,490
20200803_1535_blob_625_oil,2328.333333,17-Pentatriacontene,831,831,,C35H70,490
20200803_1535_blob_484_oil,2348.333333,"Tetracosane, 11-decyl-",830,831,,C34H70,478
20200803_1535_blob_554_oil,2370,17-Pentatriacontene,830,830,,C35H70,490
20200803_1535_blob_681_,2318.333333,11H-Benzo[b]fluorene,830,880,,C17H12,216
20200803_1535_blob_846_,1941.666667,"1H-Cyclopropa[l]phenanthrene,1a,9b-dihydro-",830,863,,C15H12,192
20200803_1535_blob_495_oil,2432.432432,17-Pentatriacontene,829,829,,C35H70,490
