Column1,Formula,C,H,N,O,S,P,ExactMass,0724.csv,0726.csv,0730.csv,0802.csv,0806.csv,0809.csv,0812.csv,Replication,Latter TPs common,Column2,N/C,O/C,H/C,DBE,DBE/C,NOSC,AI-mod,Column3,Spearmans',ChlA,î(280 nm) L/mg*cm,î(350 nm) L/mg*cm,Slope 350-400,Slope 275-295,SR (Smaller:Larger),E2:E3 (A 250:365 nm),Column4,Column5,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,Column6
1772,C18H23NO8S,18,23,1,8,1,0,412.1071601,3420.8,NA,NA,NA,NA,2364.8,1156,4,1,,0.055555556,0.444444444,1.277777778,8,,-0.111111111,0.208333333,,,-0.164472398,-0.975070564,-0.966967243,0.897432245,0.908933742,0.926663713,0.885961617,,,0,0,3,0,0,0,3
8443,C39H55NO2S,39,55,1,2,1,0,600.3880725,NA,NA,3102,10669.6,NA,NA,4833.4,4,2,,0.025641026,0.051282051,1.41025641,13,,-1.179487179,0.291666667,,,0.978541955,-0.323631884,-0.296435692,0.975873832,0.422267368,-0.016840718,0.289095102,,,0,0,3,0,0,0,3
1874,C18H38NO10S2P,18,38,1,10,2,1,522.1601965,3481.8,3554.3,NA,NA,2457.1,NA,NA,4,2,,0.055555556,0.555555556,2.111111111,1,,-0.611111111,-0.777777778,,,-0.994406838,-0.988437614,-0.987725572,0.915807286,0.956319843,-0.761851528,0.922311782,,,0,0,0,0,0,0,0
2426,C20H40NO3S2P,20,40,1,3,2,1,436.2114443,NA,1487.5,4493.8,11394.4,490,NA,3149,2,1,,0.05,0.15,2,2,,-1.35,-0.172413793,,,0.865919628,-0.459328023,-0.489952802,0.719789333,0.474353309,-0.212994613,0.549796745,,,0,0,0,0,0,0,0
4011,C25H24NO3S2P,25,24,1,3,2,1,480.0862443,2511.6,NA,NA,1460.7,476.1,NA,NA,4,2,,0.04,0.12,0.96,15,,-0.44,0.538461538,,,-0.245041819,-0.925109096,-0.921419951,0.926337657,0.959748744,-0.781302398,0.973652211,,,0,2,0,0,0,0,2
5026,C28H30NO5S2P,28,30,1,5,2,1,554.1230235,NA,NA,NA,1177.5,NA,1057.2,442,4,1,,0.035714286,0.178571429,1.071428571,15,,-0.464285714,0.441860465,,,0.77063886,-0.88253935,-0.867020357,0.746463318,0.751313138,0.765563776,0.722620649,,,0,0,3,0,0,0,3
6462,C32H42NO4S2P,32,42,1,4,2,1,598.2220089,1673.8,NA,NA,NA,NA,1566.7,780.9,4,1,,0.03125,0.125,1.3125,13,,-0.84375,0.307692308,,,0.207859206,-0.826256882,-0.806638465,0.673774579,0.693337738,0.72485839,0.654827606,,,0,0,3,0,0,0,3
3783,C24H33NO2S3,24,33,1,2,3,0,462.1600639,NA,NA,565.3,1654.6,NA,1323.2,NA,4,2,,0.041666667,0.083333333,1.375,9,,-0.833333333,0.236842105,,,0.86236305,0.177751988,0.224393881,0.836549456,-0.057700037,-0.565301518,-0.232059379,,,0,0,3,0,0,0,3
4763,C27H33NO4S3,27,33,1,4,3,0,530.1498931,NA,NA,NA,NA,250.2,444.4,359.7,4,0,,0.037037037,0.148148148,1.222222222,12,,-0.592592593,0.30952381,,,0.010182546,-0.631380442,-0.914684614,0.935134218,-0.163764748,-0.845438255,0.992414929,,,0,0,3,0,0,0,3
5036,C28H31NO5S3,28,31,1,5,3,0,556.1291577,2576.2,NA,NA,298.3,NA,183.4,NA,4,2,,0.035714286,0.178571429,1.107142857,14,,-0.428571429,0.372093023,,,-0.666529711,-0.702947927,-0.714748329,0.822004785,0.730219206,0.615051002,0.832589834,,,0,0,3,0,0,0,3
5061,C28H33NO4S3,28,33,1,4,3,0,542.1498931,2658.7,NA,NA,765.8,562.5,508.9,NA,3,1,,0.035714286,0.142857143,1.178571429,13,,-0.571428571,0.340909091,,,-0.484174296,-0.737048681,-0.715923474,0.653333935,0.802181077,0.141585433,0.827398137,,,0,0,3,0,0,0,3
5742,C30H35NO3S3,30,35,1,3,3,0,552.1706285,3386.7,1714.1,NA,NA,1319.1,NA,NA,4,2,,0.033333333,0.1,1.166666667,14,,-0.666666667,0.367346939,,,-0.682533262,-0.715698449,-0.718921785,0.871714969,0.808772997,-0.975731688,0.863507854,,,0,0,3,0,0,0,3
5772,C30H37NOS3,30,37,1,1,3,0,522.1964493,NA,1346,NA,NA,NA,554.1,266.9,4,1,,0.033333333,0.033333333,1.233333333,13,,-0.866666667,0.352941176,,,-0.413743213,-0.993110749,-0.996019318,0.983583633,0.995934329,0.991859802,0.992486137,,,0,0,3,0,0,0,3
1044,C15H32N2O17,15,32,2,17,0,0,511.1628198,NA,NA,NA,5988.4,3248,NA,4072.6,4,1,,0.133333333,1.133333333,2.133333333,1,,0.533333333,-1.888888889,,,0.886762083,-0.919309058,-0.974681372,0.933704454,0.881404106,-0.179359393,0.996686596,,,0,0,0,0,5,0,5
1317,C16H34N2O17,16,34,2,17,0,0,525.1784698,2644.2,NA,NA,NA,1651.6,3589.6,NA,4,1,,0.125,1.0625,2.125,1,,0.375,-1.545454545,,,0.051190796,-0.269302585,-0.362585895,0.583461927,-0.002125533,-0.990079063,0.232686617,,,0,0,0,0,5,0,5
1573,C17H34N2O18,17,34,2,18,0,0,553.1733844,NA,1685.6,NA,NA,1515.7,NA,1697.1,4,1,,0.117647059,1.058823529,2,2,,0.470588235,-1.333333333,,,-0.972737545,-0.358743439,-0.509994254,0.969707799,0.273311734,-0.647620765,0.637547775,,,0,0,0,0,5,0,5
1857,C18H36N2O18,18,36,2,18,0,0,567.1890344,NA,1645.7,2656.6,3457.7,856.4,NA,NA,3,2,,0.111111111,1,2,2,,0.333333333,-1.142857143,,,0.638965162,-0.71549605,-0.728726563,0.832593576,0.723432131,-0.880697036,0.777645575,,,0,0,0,0,5,0,5
1883,C18H38N2O17,18,38,2,17,0,0,553.2097698,2639.5,1107.1,NA,2570,1146.7,NA,NA,3,2,,0.111111111,0.944444444,2.111111111,1,,0.111111111,-1.133333333,,,0.434387878,-0.577654616,-0.586051822,0.774567899,0.64966037,-0.935983701,0.699488992,,,0,0,0,0,5,0,5
2122,C19H36N2O19,19,36,2,19,0,0,595.183949,NA,NA,2175.8,3950.5,692.4,NA,NA,4,2,,0.105263158,1,1.894736842,3,,0.421052632,-1,,,0.785753791,-0.854816845,-0.837828821,0.981666886,0.918692687,-0.981281652,0.834762699,,,0,0,0,0,0,6,6
2150,C19H38N2O18,19,38,2,18,0,0,581.2046844,2213.3,NA,NA,NA,1170.4,NA,1771.1,4,1,,0.105263158,0.947368421,2,2,,0.210526316,-1,,,-0.977106727,-0.763864974,-0.852290312,0.997813449,0.725290523,-0.416891813,0.892795548,,,0,0,0,0,5,0,5
