"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Formula","Mass","inverse_slope"
"67","beta-caryophyllonic acid, TMS",2018-11-27,0.000227960979660467,0.958476332777248,48.96819761,1.326859205,1931,1931.543624,"Acid",NA,NA,4386.71566287105
"68","beta-caryophyllinic acid, TMS",2018-11-27,0.000328074519463442,0.961040407293231,52.47123893,0.927803805,2060,2060.740741,"Acid",NA,NA,3048.08798207028
"69","beta-caryophyllene aldehyde",2018-11-27,0.00216922221823804,0.921048689864231,42.60941608,1.965347845,1715,1715.853659,"Aldehyde",NA,NA,460.994725018194
"70","benzophenone",2018-11-27,0.000826958713110747,0.995420534066777,41.01020157,1.17721343,1664,1664.634146,"PAH",NA,NA,1209.25021303461
"71","anthraquinone",2018-11-27,0.000314132327827899,0.970882480422176,51.36701938,1.446575825,2017,2017.777778,"PAH",NA,NA,3183.37181949596
"72","abietic acid",2018-11-27,0.000253152449748753,0.976307007791124,62.2569087,0.83801634,2468,2468.421053,"Acid",NA,NA,3950.1889118295
"73","a-Amyrin",2018-11-27,0.000284690706094125,0.989306223158897,81.14287059,1.05749681,3479,3479.120879,"PAH","C33H58OSi",NA,3512.58393264647
"74","Humulene",2018-11-27,0.00344547608114301,0.813727922663228,35.2078327,0.677576316,1490,1490,"Sesq",NA,NA,290.235652911065
"75","Longifolene",2018-11-27,0.0178433576178756,0.774506299307041,33.53448492,0.657647601,1442,1442,"Sesq",NA,NA,56.0432639089289
"76","a-copaene",2018-11-27,0.0196922841415797,0.766384637432249,32.12735155,0.57793274,1402,1402,"Sesq",NA,NA,50.7813107311676
"77","a-farnesene",2018-11-27,0.132577638059495,0.927442031438157,34.78949576,0.53807531,1478,1478,"Sesq",NA,NA,7.54275015482813
"78","alloaromadendrene",2018-11-27,0.00932654440059047,0.809555703320038,35.3219246,0.627754528,1493,1493,"Sesq",NA,NA,107.220848049218
"79","aromadendrene",2018-11-27,0.0159277325871017,0.804389279542828,34.52328134,0.627754528,1470,1470,"Sesq",NA,NA,62.7835754104638
"80","caryophyllene",2018-11-27,0.0136019531236942,0.803375154274681,33.83872997,0.667611959,1451,1451,"Sesq",NA,NA,73.518853572435
"81","cedrene",2018-11-27,0.0155579232403513,0.766366638562141,33.76266871,0.637718886,1449,1449,"Sesq",NA,NA,64.2759309549995
"82","Me-OH-glutatric acid",2018-11-27,0.00270484611934511,0.939548783071687,39.71559934,0.828039955,1623,1623.170732,"Acid","C15H34O5",NA,369.706798789026
"83","MBTCA",2018-11-27,0.000377641490578177,0.803119802677465,44.51324288,0.97768573,1776,1776.829268,"Acid","C17H36O6Si3",NA,2648.01412172423
"84","FAME18 (Methyl Stearate)",2018-11-27,0.000255196977606159,0.989349680162854,55.06044338,0.71829972,2161,2161.481481,"Acid","C19H38O2",NA,3918.54170602006
"85","FAME16 (Methyl Palmitate)",2018-11-27,0.000278749926352933,0.995587316324274,49.69165179,0.728276105,1957,1957.04698,"Acid","C17H34O2",NA,3587.44489400823
"86","DEET",2018-11-27,0.000398028032397328,0.948622072890595,38.99214515,1.785772915,1600,1600,"Amide","C12H17NO",NA,2512.3858587974
"87","C9 acid",2018-11-27,0.00632056210077135,0.753510887360885,31.22453179,0.688370565,1381,1381.906882,"Acid","C12H26O2Si",NA,158.213776568695
"88","C9 Diacid (azelaic acid)",2018-11-27,0.000232380193036186,0.995863618669723,45.88399818,0.947756575,1822,1822.818792,"Acid","C15H32O4Si2",NA,4303.29275027446
"89","C8 acid",2018-11-27,0.00518607454396907,0.973864323711655,27.34072511,0.71829972,1293,1293.392792,"Acid","C11H24O2Si",NA,192.824069828095
"90","C28 acid",2018-11-27,0.00117398480224063,0.987451161019303,77.9825181,0.73825249,3291,3291.954023,"Acid",NA,NA,851.799783175587
"91","C26 acid",2018-11-27,0.000668584755467629,0.96631870088849,74.47947678,0.71829972,3088,3088.172043,"Acid",NA,NA,1495.6966814186
"92","C24 acid",2018-11-27,0.000380475202166405,0.960980110473936,70.78605278,0.69834695,2886,2886.868687,"Acid",NA,NA,2628.29218384288
"93","C22 acid",2018-11-27,0.000343346167275407,0.956288398521754,66.82609303,0.688370565,2684,2684.90566,"Acid",NA,NA,2912.51248830127
"94","C18 Acid",2018-11-27,8.38950305742282e-05,0.933793213678625,57.95426012,0.69834695,2280,2280.645161,"Acid",NA,NA,11919.6571376802
"95","C17 acid",2018-11-27,0.000421295355158687,0.95542047331554,55.47928528,0.668417795,2177,2177.777778,"Acid",NA,NA,2373.63167610366
"96","C16 Acid",2018-11-27,0.000114690142633704,0.88142099674155,52.92815736,0.688370565,2078,2078.518519,"Acid",NA,NA,8719.14514217484
"97","C14 Diacid",2018-11-27,0.00048799401356429,0.952403984789655,58.83002045,0.887898265,2317,2317.741935,"Acid",NA,NA,2049.20546605897
"98","C13 acid",2018-11-27,0.000278363459319681,0.987855630731947,44.51324288,0.688370565,1776,1776.829268,"Acid",NA,NA,3592.42553761904
"99","C12 diacid",2018-11-27,0.000302119254561184,0.98408442930847,53.99430037,0.907851035,2120,2120,"Acid",NA,NA,3309.95123582064
"100","C10 diacid (sebacic acid)",2018-11-27,0.000250786428219918,0.966364130165217,48.70166185,0.93778019,1922,1922.147651,"Acid",NA,NA,3987.45660639613
"101","C10 carboxylic acid",2018-11-27,0.00149054634624021,0.873894716238091,34.80372618,0.688370565,1479,1479.781421,"Acid",NA,NA,670.894938974844
"102","C35",2018-11-27,0.000640447580273989,0.966916587901558,82.6278555,0.71829972,3564,3564.835165,"Alkane",NA,NA,1561.40803837871
"103","C33",2018-11-27,0.000448651606516541,0.96799686370795,79.16289072,0.63848864,3363,3363.218391,"Alkane",NA,NA,2228.90096786744
"104","C32",2018-11-27,0.000390256476569443,0.961360017473999,77.44944659,0.628512255,3259,3259.770115,"Alkane",NA,NA,2562.41743581175
"105","C31",2018-11-27,0.000337068873590943,0.957584985538032,75.73600247,0.61853587,3159,3159.139785,"Alkane",NA,NA,2966.75272725885
"106","C30",2018-11-27,0.00027463578830223,0.969591917943539,73.94640527,0.5985831,3058,3058.064516,"Alkane",NA,NA,3641.18604564211
"107","C29",2018-11-27,0.000236337947746475,0.964045575867786,72.08065501,0.588606715,2955,2955.555556,"Alkane",NA,NA,4231.22909179494
"108","C28",2018-11-27,0.00021656221123027,0.977285041902759,70.13875167,0.57863033,2852,2852.525253,"Alkane",NA,NA,4617.61077483967
"109","C27",2018-11-27,0.000241761996563316,0.970697641848426,68.15877179,0.568653945,2750,2750.943396,"Alkane",NA,NA,4136.29939450845
"110","C26",2018-11-27,0.000360610956391345,0.979377241538938,66.10263884,0.568653945,2649,2649.056604,"Alkane",NA,NA,2773.07159495945
"111","C25",2018-11-27,0.000226460553916853,0.983454621416628,63.93227628,0.55867756,2545,2545.614035,"Alkane",NA,NA,4415.78006723042
"112","C24",2018-11-27,0.000217684257280752,0.99417540823311,61.72383719,0.548701175,2443,2443.859649,"Alkane",NA,NA,4593.8094582112
"113","C23",2018-11-27,0.000226263220067723,0.995785592856036,59.40116849,0.548701175,2341,2341.935484,"Alkane",NA,NA,4419.63125823406
"114","C22",2018-11-27,0.000232424882929097,0.996414277171256,56.96427018,0.53872479,2238,2238.709677,"Alkane",NA,NA,4302.46532728192
"115","C21",2018-11-27,0.000250940660646514,0.996505120109021,54.4512188,0.51877202,2137,2137.777778,"Alkane",NA,NA,3985.0058472933
"116","C20",2018-11-27,0.000267404582499121,0.995814650786046,51.78586128,0.51877202,2034,2034.074074,"Alkane",NA,NA,3739.65169427599
"117","C19",2018-11-27,0.000306312399806688,0.991006695574655,49.04435068,0.508795635,1934,1934.228188,"Alkane",NA,NA,3264.6409372624
"118","C17",2018-11-27,0.000584744935844935,0.899353612580578,43.06633451,0.488842865,1730,1730.487805,"Alkane",NA,NA,1710.14734579109
