"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat"
"71","beta-caryophyllene aldehyde",2020-11-27,3.25520597828411,0.972167907410814,42.60941608,1.965347845,1715,1715.853659,"Aldehyde"
"72","benzophenone",2020-11-27,1.45411256404051,0.990301606270649,41.01020157,1.17721343,1664,1664.634146,"PAH"
"73","anthraquinone",2020-11-27,0.160933255784497,0.97224740685758,51.36701938,1.446575825,2017,2017.777778,"PAH"
"74","abietic acid",2020-11-27,1.01007137542954,0.976134458929765,62.2569087,0.83801634,2468,2468.421053,"Acid"
"75","a-Amyrin",2020-11-27,0.307896167355794,0.991549612932305,81.14287059,1.05749681,3479,3479.120879,"Sesq"
"76","SESQ9",2020-11-27,4.8656880505591,0.858025065131172,39.33483398,1.067473195,1610,1610.97561,"Sesq"
"77","SESQ7",2020-11-27,524.975146562722,0.965585608612754,36.8217826,0.53872479,1537,1537.704918,"Sesq"
"78","SESQ6",2020-11-27,20.4660327332004,0.802650507033445,35.29872115,0.61853587,1493,1493.989071,"Sesq"
"79","SESQ2",2020-11-27,0.941084785368228,0.630114196972988,33.73758317,1.626150755,1449,1449.180328,"Sesq"
"80","Me-OH-glutatric acid (?)",2020-11-27,6.65420947636309,0.909532874681846,39.71559934,0.828039955,1623,1623.170732,"Acid"
"81","MBTCA",2020-11-27,1.19719062292099,0.780890455477148,44.51324288,0.97768573,1776,1776.829268,"Acid"
"82","FAME18 (Methyl Stearate)",2020-11-27,2.16521511978846,0.98742230019877,55.06044338,0.71829972,2161,2161.481481,"Acid"
"83","FAME16 (Methyl Palmitate)",2020-11-27,1.93962170484425,0.997554454042551,49.69165179,0.728276105,1957,1957.04698,"Acid"
"84","DEET",2020-11-27,0.00680932628607016,0.953407839482267,38.99214515,1.785772915,1600,1600,"Amide"
"85","C9 Diacid (azelaic acid)",2020-11-27,0.753764000038933,0.997984981572899,45.88399818,0.947756575,1822,1822.818792,"Acid"
"86","C8 acid",2020-11-27,0.393964608102336,0.798124265279781,27.34072511,0.71829972,1293,1293.392792,"Acid"
"87","C28 acid",2020-11-27,1.65478724482247,0.981271337979278,77.9825181,0.73825249,3291,3291.954023,"Acid"
"88","C26 acid",2020-11-27,1.31894067356083,0.950989635030556,74.47947678,0.71829972,3088,3088.172043,"Acid"
"89","C24 acid",2020-11-27,1.19898886195744,0.953126360717775,70.78605278,0.69834695,2886,2886.868687,"Acid"
"90","C22 acid",2020-11-27,1.95818773359858,0.94884034300553,66.82609303,0.688370565,2684,2684.90566,"Acid"
"91","C18 Acid",2020-11-27,0.907220626476195,0.928362448384165,57.95426012,0.69834695,2280,2280.645161,"Acid"
"92","C17 acid",2020-11-27,5.65259844709266,0.949124999292763,55.47928528,0.668417795,2177,2177.777778,"Acid"
"93","C16 Acid",2020-11-27,1.35171827369411,0.868828129911824,52.92815736,0.688370565,2078,2078.518519,"Acid"
"94","C14 Diacid",2020-11-27,2.1449156690757,0.958115357630677,58.83002045,0.887898265,2317,2317.741935,"Acid"
"95","C13 acid",2020-11-27,1.7312746764823,0.989573705857718,44.51324288,0.688370565,1776,1776.829268,"Acid"
"96","C12 diacid",2020-11-27,1.51298245120331,0.987737072204873,53.99430037,0.907851035,2120,2120,"Acid"
