Compound Name,BlobID,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Quantifier_1,Quantifier_2,Quantifier_Response_1,Quantifier_Response_2,Volume_Ratio,Cal_pt_1,Cal_pt_2,Cal_pt_3,Cal_pt_4,Cal_pt_5,Cal_pt_6,H_Cat
gamma dodecalactone,79,gamma dodecalactone,,,TRUE,1709.756098,1710,12,amze_unnamedsesq_1,0,999,999,97.16999817,,0,42.4190334,1.89551315,,,0,0,0,0,2,4,10,20,40,
galactosan,694,galactosan,,,TRUE,1684.146341,1684,11,amze_unnamedsesq_1,0,999,999,93.87000275,,0,41.61942614,0.83801634,,,0,0,0,0,2,4,10,20,40,
farnesol,66,farnesol,,,TRUE,1832.214765,1832,10,amze_unnamedsesq_1,0,999,999,95.76999664,,0,46.15053394,0.548701175,,,0,0,0,0,2,4,10,20,40,
erythreitol,93,erythreitol,,,TRUE,1528.961749,1529,126,amze_unnamedsesq_1,0,999,999,79.80000305,,0,36.51717031,0.53872479,,,0,0,0,0,2,4,10,20,40,
ergosterol,673,ergosterol,,,TRUE,3296.551724,3297,9,amze_unnamedsesq_1,0,999,999,94.93000031,,0,78.05867117,0.83801634,,,0,0,0,0,2,4,10,20,40,
"eicosanol, TMS",40,"eicosanol, TMS",,,TRUE,2390.322581,2390,8,amze_unnamedsesq_1,0,999,999,96.15000153,,0,60.54346457,0.548701175,,,0,0,0,0,2,4,10,20,40,
dodecyl benzene,9,dodecyl benzene,,,TRUE,1920.805369,1921,7,amze_unnamedsesq_1,0,999,999,97.20999908,,0,48.66358532,0.61853587,,,0,0,0,0,2,4,10,20,40,
"dimethyl Glutaric Acid, TMS",648,"dimethyl Glutaric Acid, TMS",,,TRUE,1456.830601,1457,6,amze_unnamedsesq_1,0,999,999,98.66000366,,0,34.00411893,0.89787465,,,0,0,0,0,4,8,20,40,80,
dibenz(ah)anthracene,681,dibenz(ah)anthracene,,,TRUE,3280.45977,3280,5,amze_unnamedsesq_1,0,999,999,81.93000031,,0,77.79213542,1.51641052,,,0,0,0,0,0.5,1,2.5,5,10,
deoxycholic Acid ,674,deoxycholic Acid (maybe),,,TRUE,3347.126437,3347,4,amze_unnamedsesq_1,0,999,999,97.23999786,,0,78.89635496,0.967709345,,,0,0,0,0,4,8,20,40,80,
cycloisolongifolene,686,cycloisolongifolene,,,TRUE,1355.197993,1355,3,amze_unnamedsesq_1,0,999,999,93.87999725,,0,30.04415917,0.648465025,,,0,0,0,0,4,8,20,40,80,
citronellol,663,citronellol,,,TRUE,1338.828029,1339,2,amze_unnamedsesq_1,0,999,999,97.12000275,,0,29.32070499,0.528748405,,,0,0,0,0,4,8,20,40,80,
"cis-Vaccenic Acid, TMS",65,"cis-Vaccenic Acid, TMS",,,TRUE,2259.677419,2260,1,amze_unnamedsesq_1,0,999,999,88.34999847,,0,57.45926515,0.688370565,,,0,0,0,0,2,4,10,20,40,
chrysene,136,chrysene,,,TRUE,2531.578947,2532,25,amze_unnamedsesq_1,0,999,999,91.40000153,,0,63.627664,1.29693005,,,0,0,0,0,0.5,1,2.5,5,10,
cholesterol,78,cholesterol,,,TRUE,3209.195402,3209,24,amze_unnamedsesq_1,0,999,999,95.84999847,,0,76.6117628,0.83801634,,,0,0,0,0,2,4,10,20,40,
borneol,100,borneol,,,TRUE,1254.323789,1254,23,amze_unnamedsesq_1,0,999,999,88.11000061,,0,25.77958713,0.61853587,,,0,0,0,0,4,8,20,40,80,
bisabolol,654,bisabolol,,,TRUE,1770.731707,1771,22,amze_unnamedsesq_1,0,999,999,94.15000153,,0,44.3228602,0.55867756,,,0,0,0,0,4,8,20,40,80,
beta-sitosterol,661,beta-sitosterol,,,TRUE,3406.593407,3407,21,amze_unnamedsesq_1,0,999,999,91.79000092,,0,79.8863449,0.867945495,,,0,0,0,0,0.5,1,2.5,5,10,
"beta-nocaryophyllonic acid, TMS",45,"beta-nocaryophyllonic acid, TMS",,,TRUE,1985.234899,1985,20,amze_unnamedsesq_1,0,999,999,93.33999634,,0,50.49125905,1.725914605,,,0,0,0,0,7.5,15,30,60,120,Sesq
beta-nocaryophyllone aldehyde,64,beta-nocaryophyllone aldehyde,,,TRUE,1757.317073,1757,19,amze_unnamedsesq_1,0,999,999,90.59999847,,0,43.90401831,0.269362395,,,0,0,0,0,17.5,35,70,140,280,Sesq
"beta-nocaryophyllinic acid, TMS",23,"beta-nocaryophyllinic acid, TMS",,,TRUE,2127.407407,2127,18,amze_unnamedsesq_1,0,999,999,95.51000214,,0,54.18468305,1.247048125,,,0,0,0,0,1,2,4,8,16,Sesq
