BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
391,,"blob123_g48_Cyclopentene, 1-ethenyl-3-methylene-",894.9152542372881,922.0,,false,0,18.000034660000306,2.5699996659000437,12517.0,304730.0,caice_voc_g48,910,C8H10,49,106,,
504,,blob220_g48_1-Iodo-2-methylundecane,,1689.0,,false,0,54.33336327000092,2.1599997192000364,8175.0,298799.0,caice_voc_g48,731,C12H25I,109,296,,
195,,blob220_g48_1-Iodo-2-methylundecane,1508.1081081081081,1689.0,,false,0,41.5000316050007,0.949999876500016,35790.0,289062.0,caice_voc_g48,863,C12H25I,109,296,,
338,,"blob223_g48_Oxalic acid, 6-ethyloct-3-yl heptyl ester",1446.3428366103553,1324.0,,false,0,35.4166990625006,0.8899998843000151,16909.0,286323.0,caice_voc_g48,857,C19H36O4,179,328,,
400,,"blob201_g48_Cyclohexane, undecyl-",1772.727272727273,1773.0,,false,0,49.25003059750084,1.359999823200023,11939.0,281433.0,caice_voc_g48,869,C17H34,103,238,,
832,,"blob450_g48_1,3-Dioxolane, 4-methyl-2-pentyl-",1023.9999999999999,812.0,,false,0,23.833367235000406,1.239999838800021,4366.0,279483.0,caice_voc_g48,657,C9H18O2,260,158,,
626,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",,1733.0,,false,0,52.9166967875009,2.289999702300039,6458.0,276419.0,caice_voc_g48,711,C21H38O4,269,354,,
645,,"blob131_g48_3-Eicosene, (E)-",1691.4285714285716,1697.0,,false,0,47.000030890000794,1.2099998427000205,6145.0,275794.0,caice_voc_g48,798,C20H40,58,280,,
451,,"blob495_g48_1,4-Dioxane, 2,5-dimethyl-",832.2033898305085,863.0,,false,0,14.916701727500252,2.5599996672000436,9416.0,273559.0,caice_voc_g48,808,C6H12O2,253,116,,
555,,blob175_g48_4-Cyanocyclohexene,1106.3829787234042,1106.0,,false,0,27.250033457500464,1.3999998180000237,7302.0,272163.0,caice_voc_g48,883,C7H9N,53,107,,
348,,blob32_g48_Cetene,1622.857142857143,1597.0,,false,0,45.00003115000076,1.2199998414000206,15804.0,271984.0,caice_voc_g48,824,C16H32,41,224,,
416,,blob221_g48_2-Decen-1-ol,1567.5675675675677,1464.0,,false,0,43.333364700000736,2.2099997127000375,10760.0,271041.0,caice_voc_g48,853,C10H20O,125,156,,
433,,blob177_g48_1-Iodo-2-methylundecane,1650.0079827560876,1508.0,,false,0,38.416698672500644,0.8999998830000152,10107.0,267481.0,caice_voc_g48,854,C12H25I,114,296,,
361,,"blob322_g48_Benzene, (1-butylheptyl)-",1660.0,1660.0,,false,0,46.08336434250078,1.7999997660000304,14900.0,264454.0,caice_voc_g48,759,C17H28,193,232,,
356,,blob351_g48_3-Methylheptyl acetate,1187.2340425531916,1187.0,,false,0,30.416699712500517,1.7999997660000304,15333.0,259807.0,caice_voc_g48,854,C10H20O2,235,172,,
671,,blob723_g48_1-Butanol,,,,false,0,10.08336902250017,3.0899995983000523,5831.0,257896.0,caice_voc_g48,856,C4H10O,302,74,,
869,,"blob395_g48_1b,5,5,6a-Tetramethyl-octahydro-1-oxa-cyclopropa[a]inden-6-one",1508.1081081081081,1508.0,,false,0,41.5000316050007,1.3299998271000226,4141.0,254342.0,caice_voc_g48,700,C13H20O2,212,208,,
352,,blob186_g48_4-Trifluoroacetoxyhexadecane,1562.1621621621623,1581.0,,false,0,43.16669805500073,1.129999853100019,16185.0,252441.0,caice_voc_g48,803,C18H33F3O2,131,338,,
371,,blob333_g48_2-Ethylhexanal,998.181818181818,998.0,,false,0,22.750034042500385,1.8399997608000311,14307.0,252156.0,caice_voc_g48,830,C8H16O,214,128,,
706,,"blob450_g48_1,3-Dioxolane, 4-methyl-2-pentyl-",1329.2685673220712,812.0,,false,0,34.750032482500586,4.739999383800081,5357.0,251960.0,caice_voc_g48,723,C9H18O2,260,158,,
337,,"blob189_g48_Heptadecane, 2,3-dimethyl-",1736.3636363636365,1773.0,,false,0,48.25003072750082,1.059999862200018,16721.0,250924.0,caice_voc_g48,809,C19H40,82,268,,
731,,blob341_g48_3-tert-Butyl-2-pyrazolin-5-one,1671.4285714285716,1671.0,,false,0,46.416697632500785,4.949999356500084,5338.0,247050.0,caice_voc_g48,806,C7H12N2O,156,140,,
536,,blob220_g48_1-Iodo-2-methylundecane,1781.818181818182,1689.0,,false,0,49.50003056500084,2.239999708800038,7544.0,241486.0,caice_voc_g48,768,C12H25I,109,296,,
216,,"blob34_g48_Hexasiloxane, tetradecamethyl-",1400.0,1400.0,,false,0,38.00003206000064,0.6099999207000103,26830.0,238219.0,caice_voc_g48,911,C14H42O5Si6,48,458,,
419,,blob220_g48_1-Iodo-2-methylundecane,,1689.0,,false,0,53.083363432500896,1.2199998414000206,10788.0,235193.0,caice_voc_g48,816,C12H25I,109,296,,
327,,"blob167_g48_Decane, 2,2,4-trimethyl-",1032.0,1032.0,,false,0,24.16670052500041,0.709999907700012,18377.0,234228.0,caice_voc_g48,897,C13H28,102,184,,
524,,"blob172_g48_1,4-Dioxin, 2,3-dihydro-5,6-dimethyl-",849.1525423728813,850.0,,false,0,15.750034952500267,4.029999476100068,7745.0,232244.0,caice_voc_g48,918,C6H10O2,55,114,,
