BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
189,,blob229_g48_1-Iodo-2-methylundecane,,false,0,41.16674172666726,0.899999892000013,32446.0,285712.0,caice_voc_g48,836,C12H25I,138,296,,,,1535.7131328942087
197,,"blob329_g48_Cyclopentasiloxane, decamethyl-",,false,0,28.91674319666708,1.2599998488000181,29037.0,288021.0,caice_voc_g48,858,C10H30O5Si5,335,370,1160.0,,,1146.8085106382978
233,,"blob226_g48_Heptadecane, 2,6-dimethyl-",,false,0,45.833407833334,0.9399998872000136,19251.0,291116.0,caice_voc_g48,893,C19H40,97,268,1649.0,,,1650.0000000000002
212,,blob229_g48_1-Iodo-2-methylundecane,,false,0,35.33340909333385,0.8399998992000121,25140.0,296132.0,caice_voc_g48,683,C12H25I,138,296,,,,1420.0027159018127
244,,"blob290_g48_Cyclobutanol, 2-ethyl-",,false,0,15.666744786666893,2.339999719200034,15162.0,299448.0,caice_voc_g48,929,C6H12O,106,100,848.0,,,846.6666666666667
141,,"blob283_g48_Cyclopropane, 1-heptyl-2-methyl-",,false,0,41.2500750500006,1.0999998680000158,57795.0,308051.0,caice_voc_g48,844,C11H22,135,154,1532.0,,,1517.8565664471025
199,,blob229_g48_1-Iodo-2-methylundecane,,false,0,40.16674184666725,0.8599998968000124,28633.0,309740.0,caice_voc_g48,837,C12H25I,138,296,,,,1749.9919302594608
135,,blob150_g48_1-Octene,,false,0,37.83340879333388,1.039999875200015,63485.0,316082.0,caice_voc_g48,720,C8H16,84,112,,,,1870.0129005336075
236,,blob192_g48_1-Iodo-2-methylundecane,,false,0,48.00007424000069,0.9999998800000144,18159.0,318522.0,caice_voc_g48,870,C12H25I,85,296,1724.0,,,1726.4705882352941
226,,"blob653_g48_Pentadecanoic acid, 14-methyl-, methyl ester",,false,0,55.75007331000081,2.639999683200038,18229.0,325518.0,caice_voc_g48,754,C17H34O2,221,270,,,,
208,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",,false,0,50.00007400000072,1.2199998536000176,25031.0,325946.0,caice_voc_g48,838,C21H38O4,149,354,1797.0,,,1797.0588235294117
228,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",,false,0,14.583411583333545,1.119999865600016,17911.0,334129.0,caice_voc_g48,883,C6H18O3Si3,120,222,,,,825.0
252,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,0,47.416740976667356,0.9399998872000136,15451.0,347072.0,caice_voc_g48,830,C21H44,208,296,,,,1705.8823529411768
130,,"blob36_g48_2,2,7,7-Tetramethyloctane",,false,0,23.91674379666701,0.6399999232000092,71654.0,348703.0,caice_voc_g48,953,C12H26,42,170,1024.0,,,1024.0
172,,"blob153_g48_1,10-Dicyanodecane",,false,0,29.66674310666709,3.45999958480005,33701.0,349188.0,caice_voc_g48,920,C12H20N2,68,192,1166.0,,,1165.9574468085107
230,,"blob201_g48_Cyclohexane, undecyl-",,false,0,49.333407413334044,1.319999841600019,19196.0,358208.0,caice_voc_g48,890,C17H34,103,238,1773.0,,,1773.5294117647059
296,,"blob256_g48_Decane, 2,5,9-trimethyl-",,false,0,51.25007385000074,1.0999998680000158,11325.0,360509.0,caice_voc_g48,863,C13H28,218,184,1485.0,,,
286,,blob220_g48_1-Iodo-2-methylundecane,,false,0,54.750073430000796,1.2799998464000184,12272.0,365302.0,caice_voc_g48,859,C12H25I,109,296,1689.0,,,
85,,"blob124_g48_2-Dodecene, (Z)-",,false,0,31.750076190000456,0.9999998800000144,98890.0,384235.0,caice_voc_g48,917,C12H24,90,168,1209.0,,,1220.4545454545455
115,,"blob30_g48_Octane, 2,2,6-trimethyl-",,false,0,21.16674412666697,0.6399999232000092,82115.0,392930.0,caice_voc_g48,949,C11H24,43,156,962.0,,,961.8181818181819
117,,"blob83_g48_Tetradecane, 4-ethyl-",,false,0,42.50007490000062,0.9399998872000136,82572.0,393472.0,caice_voc_g48,929,C16H34,47,226,1538.0,,,1537.8378378378382
79,,"blob93_g48_1,1,1,3,5,5,7,7,7-Nonamethyl-3-(trimethylsiloxy)tetrasiloxane",,false,0,32.250076130000465,0.5199999376000075,136566.0,393796.0,caice_voc_g48,931,C12H36O4Si5,79,384,1234.0,,,1234.090909090909
104,,blob318_g48_1-Hexadecanol,,false,0,40.00007520000057,1.1399998632000163,83883.0,406893.0,caice_voc_g48,797,C16H34O,172,242,,,,1785.705063153673
207,,"blob189_g48_Heptadecane, 2,3-dimethyl-",,false,0,49.25007409000071,1.0599998728000153,26094.0,411258.0,caice_voc_g48,886,C19H40,82,268,1773.0,,,1770.5882352941176
143,,blob318_g48_1-Hexadecanol,,false,0,37.83340879333388,1.9799997624000285,50289.0,417815.0,caice_voc_g48,494,C16H34O,172,242,,,,1870.0129005336075
216,,"blob208_g48_Cyclobutene, 2-propenylidene-",,false,0,12.916745116666853,2.6199996856000376,20721.0,421380.0,caice_voc_g48,915,C7H8,77,92,,,,
192,,"blob366_g48_1-Pentadecanamine, N,N-dimethyl-",,false,0,47.66674094666735,1.2599998488000181,29571.0,422993.0,caice_voc_g48,831,C17H37N,148,255,,,,1714.7058823529412
167,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,false,0,50.500073940000725,1.2399998512000179,39924.0,427918.0,caice_voc_g48,899,C12H24,86,168,,,,
423,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,0,55.66673998666747,1.3399998392000194,6044.0,431740.0,caice_voc_g48,852,C21H44,208,296,,,,
96,,"blob85_g48_Cyclopropane, nonyl-",,false,0,34.583409183333835,0.9999998800000144,90822.0,442584.0,caice_voc_g48,931,C12H24,69,168,1298.0,,,1297.7272727272727
160,,"blob143_g48_Heptadecane, 2,6-dimethyl-",,false,0,41.750074990000606,0.9199998896000132,44700.0,452615.0,caice_voc_g48,863,C19H40,51,268,1516.0,,,1513.5135135135135
81,,"blob124_g48_2-Dodecene, (Z)-",,false,0,31.333409573333782,0.9799998824000141,116245.0,454131.0,caice_voc_g48,933,C12H24,90,168,1209.0,,,1209.090909090909
238,,blob767_g48_Tribromoacetic acid,,false,0,20.083410923333624,4.799999424000069,15746.0,454937.0,caice_voc_g48,806,C2HBr3O2,339,294,940.0,,,938.1818181818182
150,,"blob133_g48_Sulfurous acid, hexyl tetradecyl ester",,false,0,48.75007415000071,1.039999875200015,52190.0,465799.0,caice_voc_g48,916,C20H42O3S,63,362,1752.0,,,1752.9411764705883
206,,"blob185_g48_1H-Tetrazole, 1-methyl-",,false,0,15.916744756666898,4.259999488800061,23117.0,467760.0,caice_voc_g48,891,C2H4N4,64,84,852.0,,,851.6666666666667
84,,"blob145_g48_2-Mercapto-4,6-dimethylnicotinonitrile, TBDMS derivative",,false,0,17.50007790000025,0.47999994240000693,117118.0,509199.0,caice_voc_g48,931,C14H22N2SSi,98,278,883.0,,,883.3333333333333
165,,"blob283_g48_Cyclopropane, 1-heptyl-2-methyl-",,false,0,42.33340825333394,3.619999565600052,36718.0,509889.0,caice_voc_g48,891,C11H22,135,154,1532.0,,,1532.4324324324323
145,,"blob123_g48_Cyclopentene, 1-ethenyl-3-methylene-",,false,0,19.33341101333361,2.699999676000039,47718.0,525850.0,caice_voc_g48,949,C8H10,49,106,922.0,,,921.8181818181819
139,,"blob131_g48_3-Eicosene, (E)-",,false,0,47.25007433000068,1.1999998560000174,58082.0,528939.0,caice_voc_g48,905,C20H40,58,280,1697.0,,,1700.0
156,,"blob144_g48_Heptadecane, 2,6-dimethyl-",,false,0,48.5000741800007,1.039999875200015,46729.0,564078.0,caice_voc_g48,876,C19H40,62,268,1745.0,,,1744.1176470588236
