BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
182,,"blob137_g48_ethanone, 2,2-dichloro-2-fluoro-1-phenyl-",1030,1030,,FALSE,0,24.0833672,3.22999958,46741,2138740,caice_voc_g48,940,C8H5Cl2FO,40,206,,
184,,"blob161_g48_2,5-Cyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-ethylidene-",1700,1700,,FALSE,0,47.25003086,2.909999622,45784,1812040,caice_voc_g48,882,C16H24O,54,232,,
185,,blob164_g48_1-Iodo-2-methylundecane,1524.324324,1524,,FALSE,0,42.00003154,0.979999873,47711,385519,caice_voc_g48,897,C12H25I,124,296,,
186,,"blob213_g48_N-(Trifluoroacetyl)-N,O,O',O''-tetrakis(trimethylsilyl)norepinephrine",1660,1660,,FALSE,0,46.08336434,0.619999919,46481,646459,caice_voc_g48,815,C22H42F3NO4Si4,157,553,,
187,,"blob200_g48_3,5-Dimethyldodecane",1759.25558,1472,,FALSE,0,40.08336512,0.909999882,45197,879335,caice_voc_g48,865,C14H30,89,198,,
188,,"blob156_g48_Dodecane, 2,7,10-trimethyl-",1519.514255,1337,,FALSE,0,35.83336568,0.889999884,43755,369407,caice_voc_g48,904,C15H32,118,212,,
191,,"blob131_g48_3-Eicosene, (E)-",1554.054054,1697,,FALSE,0,42.91669809,1.129999853,42241,925525,caice_voc_g48,841,C20H40,58,280,,
192,,blob192_g48_1-Iodo-2-methylundecane,1724.242424,1724,,FALSE,0,47.91669744,1.049999864,37923,724056,caice_voc_g48,845,C12H25I,85,296,,
193,,"blob85_g48_Cyclopropane, nonyl-",1532.432432,1298,,FALSE,0,42.25003151,3.759999511,35619,1136036,caice_voc_g48,870,C12H24,69,168,,
194,,"blob196_g48_5-Undecene, 3-methyl-, (E)-",1591.891892,1592,,FALSE,0,44.0833646,1.179999847,35355,514629,caice_voc_g48,887,C12H24,116,168,,
195,,blob220_g48_1-Iodo-2-methylundecane,1508.108108,1689,,FALSE,0,41.50003161,0.949999877,35790,289062,caice_voc_g48,863,C12H25I,109,296,,
196,,blob186_g48_4-Trifluoroacetoxyhexadecane,1581.081081,1581,,FALSE,0,43.75003131,1.159999849,33838,422770,caice_voc_g48,894,C18H33F3O2,131,338,,
197,,"blob158_g48_Decane, 2,5,9-trimethyl-",976.3636364,976,,FALSE,0,21.75003417,0.709999908,33451,563568,caice_voc_g48,889,C13H28,74,184,,
198,,"blob189_g48_Heptadecane, 2,3-dimethyl-",1772.727273,1773,,FALSE,0,49.2500306,1.099999857,32565,731029,caice_voc_g48,826,C19H40,82,268,,
199,MT,blob168_g48_Limonene_CAICE_vocstand_incomplete,1044,1044,,TRUE,0,24.66670046,1.619999789,30303,409530,caice_voc_g48,905,-,6,0,,
200,,"blob131_g48_3-Eicosene, (E)-",1739.02851,1697,,FALSE,0,37.08336551,1.069999861,29536,747489,caice_voc_g48,836,C20H40,58,280,,
201,,"blob170_g48_Cyclopentane, undecyl-",1665.714286,1666,,FALSE,0,46.25003099,1.269999835,29660,517286,caice_voc_g48,876,C16H32,93,224,,
204,,"blob142_g48_Octane, 2,3,6,7-tetramethyl-",1040,1040,,FALSE,0,24.50003382,0.739999904,28827,440275,caice_voc_g48,919,C12H26,67,170,,
208,,blob190_g48_trans-2-Undecen-1-ol,1772.727273,1773,,FALSE,0,49.2500306,2.239999709,26669,1499539,caice_voc_g48,859,C11H22O,110,170,,
209,,"blob151_g48_Heptasiloxane, hexadecamethyl-",1559.459459,1559,,FALSE,0,43.08336473,0.609999921,28253,345509,caice_voc_g48,885,C16H48O6Si7,96,532,,
210,,"blob123_g48_Cyclopentene, 1-ethenyl-3-methylene-",921.8181818,922,,FALSE,0,19.2500345,2.789999637,26412,512729,caice_voc_g48,934,C8H10,49,106,,
211,,blob32_g48_Cetene,1545.945946,1597,,FALSE,0,42.66669812,1.129999853,26313,328664,caice_voc_g48,878,C16H32,41,224,,
213,,"blob134_g48_Heptane, 5-ethyl-2,2,3-trimethyl-",1060,1060,,FALSE,0,25.33336704,0.759999901,27168,521261,caice_voc_g48,925,C12H26,57,170,,
216,,"blob34_g48_Hexasiloxane, tetradecamethyl-",1400,1400,,FALSE,0,38.00003206,0.609999921,26830,238219,caice_voc_g48,911,C14H42O5Si6,48,458,,
223,,"blob143_g48_Heptadecane, 2,6-dimethyl-",1417.074269,1516,,FALSE,0,35.25003242,0.879999886,25720,309240,caice_voc_g48,854,C19H40,51,268,,
229,,"blob200_g48_3,5-Dimethyldodecane",1703.700813,1472,,FALSE,0,40.33336509,0.91999988,25307,882914,caice_voc_g48,868,C14H30,89,198,,
234,,"blob30_g48_Octane, 2,2,6-trimethyl-",981.8181818,962,,FALSE,0,22.00003414,0.699999909,24999,329481,caice_voc_g48,890,C11H24,43,156,,
238,,blob32_g48_Cetene,1537.837838,1597,,FALSE,0,42.41669815,1.099999857,24617,543003,caice_voc_g48,835,C16H32,41,224,,
254,,"blob87_g48_Phthalic acid, ethyl hex-2-yn-4-yl ester",1703.030303,1703,,FALSE,0,47.33336418,2.549999669,22507,2497134,caice_voc_g48,843,C16H18O4,33,274,,
256,,"blob226_g48_Heptadecane, 2,6-dimethyl-",1648.571429,1649,,FALSE,0,45.75003105,0.969999874,23024,597245,caice_voc_g48,845,C19H40,97,268,,
257,,blob503_g48_Cyclobutanol,,1243,,FALSE,0,2.33337003,4.979999353,22319,744488,caice_voc_g48,613,C4H8O,181,72,,
268,,blob199_g48_3-Amino-5-t-butylisoxazole,1281.818182,1282,,FALSE,0,33.91669926,2.489999676,21738,385165,caice_voc_g48,858,C7H12N2O,117,140,,
269,,"blob174_g48_1-Pentadecanamine, N,N-dimethyl-",1715.151515,1516,,FALSE,0,47.66669747,1.30999983,21830,514578,caice_voc_g48,890,C17H37N,91,255,,
