BlobID,Description,Compound Name,Group Name,Inclusion,LRI I,Library RI,Library Match Factor,Retention I (min),Retention II (sec),Internal Standard,Peak Value,Volume,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
454,,"blob131_g48_3-Eicosene, (E)-",,false,,1697.0,761,51.50003030500087,2.6799996516000455,0,8410.0,334084.0,caice_voc_g48,C20H40,58,280,,
607,,"blob550_g48_Phenol, 4-chloro-2,6-bis(1,1-dimethylethyl)-",,false,1711.111111111111,1712.0,715,47.5833641475008,3.599999532000061,0,6192.0,333922.0,caice_voc_g48,C14H21ClO,340,240,,
390,,"blob131_g48_3-Eicosene, (E)-",,false,1691.4285714285716,1697.0,790,47.000030890000794,1.119999854400019,0,11625.0,333560.0,caice_voc_g48,C20H40,58,280,,
198,,blob186_g48_4-Trifluoroacetoxyhexadecane,,false,1581.0810810810813,1581.0,867,43.75003131250074,1.069999860900018,0,24842.0,332205.0,caice_voc_g48,C18H33F3O2,131,338,,
803,,"blob500_g48_Tetradecane, 1-fluoro-",,false,1730.5555555555557,,729,48.16669740500082,3.3899995593000574,0,4454.0,329729.0,caice_voc_g48,C14H29F,246,216,,
450,,blob260_g48_1-Iodo-2-methylundecane,,false,,1736.0,738,51.000030370000864,0.999999870000017,0,8627.0,327684.0,caice_voc_g48,C12H25I,169,296,,
175,,blob164_g48_1-Iodo-2-methylundecane,,false,1524.3243243243242,1524.0,897,42.000031540000705,0.879999885600015,0,35887.0,319528.0,caice_voc_g48,C12H25I,124,296,,
780,,blob378_g48_Dodecanal,,false,1738.888888888889,,646,48.41669737250082,1.4299998141000243,0,4631.0,315381.0,caice_voc_g48,C12H24O,163,184,,
674,,"blob513_g48_Oxalic acid, allyl undecyl ester",,false,1755.5555555555554,,711,48.916697307500826,2.179999716600037,0,5586.0,315267.0,caice_voc_g48,C16H28O4,199,284,,
411,,"blob436_g48_2,3-Pentanedione, 4-methyl-",,false,,,764,12.583368697500212,2.6699996529000454,0,10415.0,312588.0,caice_voc_g48,C6H10O2,185,114,,
584,,blob463_g48_4-Trifluoroacetoxypentadecane,,false,1775.0000000000002,1785.0,690,49.50003056500084,2.1599997192000364,0,6368.0,311685.0,caice_voc_g48,C17H31F3O2,317,324,,
457,,"blob464_g48_Oxalic acid, butyl cyclohexylmethyl ester",,false,1800.0,,716,50.25003046750085,1.3899998193000236,0,8509.0,311209.0,caice_voc_g48,C13H22O4,225,242,,
238,,blob503_g48_Cyclobutanol,,false,,1243.0,504,2.416703352500041,0.02999999610000051,0,20536.0,310570.0,caice_voc_g48,C4H8O,181,72,,
241,,blob503_g48_Cyclobutanol,,false,,1243.0,519,2.3333700300000397,5.0099993487000845,0,20318.0,308094.0,caice_voc_g48,C4H8O,181,72,,
372,,blob229_g48_1-Iodo-2-methylundecane,,false,,,775,53.0000301100009,1.129999853100019,0,12247.0,297729.0,caice_voc_g48,C12H25I,138,296,,
178,,"blob143_g48_Heptadecane, 2,6-dimethyl-",,false,1519.5142549155316,1516.0,794,35.8333656750006,0.7999998960000135,0,35355.0,296274.0,caice_voc_g48,C19H40,51,268,,
399,,"blob263_g48_1,10-Dicyanodecane",,false,1270.4545454545457,1270.0,869,33.50003264500057,3.3299995671000566,0,10698.0,291848.0,caice_voc_g48,C12H20N2,151,192,,
462,,blob621_g48_1-Methyl-2-phenylcyclopropane,,false,1123.404255319149,1126.0,799,27.916700037500473,3.1199995944000527,0,8272.0,291002.0,caice_voc_g48,C10H12,288,132,,
648,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",,false,,1797.0,691,52.33336353000088,1.0399998648000177,0,5639.0,290883.0,caice_voc_g48,C21H38O4,149,354,,
223,,"blob158_g48_Decane, 2,5,9-trimethyl-",,false,981.8181818181818,976.0,823,22.000034140000373,0.6199999194000105,0,22911.0,290176.0,caice_voc_g48,C13H28,74,184,,
386,,"blob187_g48_Decane, 6-ethyl-2-methyl-",,false,1090.0,1090.0,882,26.583366877500453,0.709999907700012,0,11669.0,287033.0,caice_voc_g48,C13H28,66,184,,
691,,"blob480_g48_Sulfurous acid, butyl 2-ethylhexyl ester",,false,,,724,53.5833633675009,1.129999853100019,0,5434.0,284472.0,caice_voc_g48,C12H26O3S,134,250,,
421,,"blob222_g48_Octane, 2,3,7-trimethyl-",,false,1117.0212765957444,1109.0,878,27.66670007000047,0.6999999090000119,0,10241.0,282650.0,caice_voc_g48,C11H24,141,156,,
335,,blob474_g48_1-Octadecanesulphonyl chloride,,false,1708.3333333333333,1709.0,770,47.5000308250008,1.6699997829000284,0,15311.0,279492.0,caice_voc_g48,C18H37ClO2S,223,352,,
307,,blob351_g48_3-Methylheptyl acetate,,false,1187.2340425531916,1187.0,872,30.416699712500517,1.7199997764000292,0,16620.0,271897.0,caice_voc_g48,C10H20O2,235,172,,
721,,"blob268_g48_3,5-Di-tert-butylbenzoic acid",,false,1540.5405405405406,,291,42.50003147500072,1.659999784200028,0,5187.0,267418.0,caice_voc_g48,C15H22O2,95,234,,
402,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,1769.4444444444446,,729,49.333363920000835,0.9299998791000158,0,10995.0,267023.0,caice_voc_g48,C21H44,208,296,,
254,,"blob151_g48_Heptasiloxane, hexadecamethyl-",,false,1559.4594594594596,1559.0,882,43.083364732500726,0.5199999324000089,0,21256.0,266379.0,caice_voc_g48,C16H48O6Si7,96,532,,
437,,"blob226_g48_Heptadecane, 2,6-dimethyl-",,false,1650.0079827560876,1649.0,845,38.416698672500644,0.8199998934000139,0,9465.0,264972.0,caice_voc_g48,C19H40,97,268,,
790,,blob419_g48_1-Iodo-2-methylundecane,,false,,1671.0,713,53.833363335000904,1.119999854400019,0,4692.0,264085.0,caice_voc_g48,C12H25I,292,296,,
196,,"blob143_g48_Heptadecane, 2,6-dimethyl-",,false,1518.518255723855,1516.0,793,41.166698315000694,0.7399999038000126,0,25477.0,264046.0,caice_voc_g48,C19H40,51,268,,
605,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,,,761,54.583363237500926,1.1799998466000199,0,6400.0,261796.0,caice_voc_g48,C21H44,208,296,,
388,,blob378_g48_Dodecanal,,false,1608.5714285714287,,700,44.583364537500756,1.2799998336000218,0,11483.0,261238.0,caice_voc_g48,C12H24O,163,184,,
672,,"blob520_g48_1-Decanol, 5,9-dimethyl-",,false,1622.857142857143,1623.0,769,45.00003115000076,0.9299998791000158,0,5610.0,259506.0,caice_voc_g48,C12H26O,158,186,,
190,,blob177_g48_1-Iodo-2-methylundecane,,false,1508.1081081081081,1508.0,848,41.5000316050007,0.8599998882000146,0,28635.0,257555.0,caice_voc_g48,C12H25I,114,296,,
542,,blob192_g48_1-Iodo-2-methylundecane,,false,,1724.0,745,51.833363595000876,1.059999862200018,0,7036.0,257053.0,caice_voc_g48,C12H25I,85,296,,
742,,"blob537_g48_Benzoic acid, 2-(1-oxopropyl)-",,false,871.1864406779661,870.0,805,16.833368145000286,3.5599995372000603,0,4890.0,255214.0,caice_voc_g48,C10H10O3,144,178,,
339,,"blob335_g48_Tetradecane, 1-iodo-",,false,1711.111111111111,1712.0,803,47.5833641475008,0.7899998973000134,0,15439.0,254214.0,caice_voc_g48,C14H29I,238,324,,
239,,"blob259_g48_9-Octadecene, (E)-",,false,1545.945945945946,,765,42.666698120000724,1.0299998661000174,0,20933.0,254036.0,caice_voc_g48,C18H36,247,252,,
