BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response
80,,"blob215_g48_Nonane, 3,7-dimethyl-",,FALSE,0,50.33340627,1.09999978,369897,5052080,caice_voc_g48,776,C11H24,137,156,,,
81,,blob318_g48_1-Hexadecanol,,FALSE,0,42.66674113,1.059999788,346178,4696398,caice_voc_g48,720,C16H34O,172,242,,,
82,,"blob236_g48_Decane, 3-ethyl-3-methyl-",,FALSE,0,48.91673988,1.09999978,363455,5888615,caice_voc_g48,765,C13H28,147,184,1758,,
83,,"blob138_g48_2,4(1H,3H)-Pyrimidinedione, 3,6-dimethyl-",,FALSE,0,34.5000761,4.179999164,337443,1.11E+07,caice_voc_g48,876,C6H8N2O2,35,140,1295,,
84,,"blob131_g48_3-Eicosene, (E)-",,FALSE,0,47.08340692,1.179999764,355170,3577305,caice_voc_g48,848,C20H40,58,280,1697,,
85,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,39.33340847,0.839999832,365954,8122495,caice_voc_g48,767,C21H44,208,296,,,
86,,blob24_g48_2-Decen-1-ol,,FALSE,0,33.16674303,2.119999576,324594,2318632,caice_voc_g48,961,C10H20O,36,156,1259,,
87,,"blob157_g48_3-Undecene, 9-methyl-, (Z)-",,FALSE,0,28.08341072,0.859999828,339739,3594680,caice_voc_g48,848,C12H24,56,168,1126,,
88,,blob374_g48_4-Trifluoroacetoxyhexadecane,,FALSE,0,45.08340732,1.039999792,314147,1.06E+07,caice_voc_g48,758,C18H33F3O2,210,338,1623,,
89,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,46.25007375,1.019999796,322765,9381027,caice_voc_g48,781,C21H44,208,296,,,
90,,blob434_g48_1-Iodo-2-methylundecane,,FALSE,0,45.5000739,0.979999804,322442,6365246,caice_voc_g48,784,C12H25I,129,296,1637,,
91,,"blob179_g48_Decane, 2,5,9-trimethyl-",,FALSE,0,27.75007745,0.759999848,310161,7611838,caice_voc_g48,880,C13H28,61,184,1117,,
92,,"blob197_g48_Octane, 2,3,3-trimethyl-",,FALSE,0,26.5000777,0.739999852,335662,2302822,caice_voc_g48,840,C11H24,160,156,1086,,
93,,"blob420_g48_Octane, 2,3,7-trimethyl-",,FALSE,0,32.66674313,0.759999848,349406,2368570,caice_voc_g48,772,C11H24,320,156,1255,,
94,,"blob6_g48_Cyclotetrasiloxane, octamethyl-",,FALSE,0,22.16674523,0.539999892,345469,2179709,caice_voc_g48,915,C8H24O4Si4,21,296,985,,
95,,"blob30_g48_Octane, 2,2,6-trimethyl-",,FALSE,0,22.08341192,0.659999868,332190,2456120,caice_voc_g48,848,C11H24,43,156,962,,
96,,"blob25_g48_Cycloheptasiloxane, tetradecamethyl-",,FALSE,0,41.08340812,0.559999888,332011,1883393,caice_voc_g48,703,C14H42O7Si7,38,518,1492,,
97,,blob32_g48_Cetene,,FALSE,0,43.75007425,0.959999808,290071,3872357,caice_voc_g48,738,C16H32,41,224,1597,,
98,,"blob226_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,45.83340717,0.939999812,292212,8540403,caice_voc_g48,802,C19H40,97,268,1649,,
