,r_date,Compound.Name,volume_tot,File_num,Category,Sample_Number,Sample_Time,amt_sampled_cm3,Quant_category,cal_curve,Extracted_Chla,Bulk_HB,T_O_D,Usable,Event,Isoprene,DMS,quant.proxy,quant_mw,keep,Class_SV,Class,quant.factor,vol_ng,vol_ng_per_L,vol_mol_per_L,vol_ppt,vol_ppt.max,vol_ppt.mean,vol_ppt.sd,vol_zscore,quant.proxy.f
42,7/30/2019 13:34,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,2649024,NA,Sample,g36,7/30/2019 13:34,2000,2,cc_1,1.589375316,2.90E+09,Day,TRUE,NA,74.15873822,1043.205119,naphthalene,128,1,Anthropogenic,Anthropogenic,2170000,1.220748387,0.610374194,4.77E-12,119.3486596,119.3486596,19.1740004,26.04516559,3.846190145,naphthalene
43,7/31/2019 13:56,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,275431,NA,Sample,g38,7/31/2019 13:56,2000,2,cc_1,2.848445838,1.50E+09,Day,TRUE,NA,95.00765472,662.9942308,naphthalene,128,1,Anthropogenic,Anthropogenic,2170000,0.126926728,0.063463364,4.96E-13,12.40921965,119.3486596,19.1740004,26.04516559,-0.259732684,naphthalene
44,8/2/2019 6:13,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,640294,NA,Sample,g41,8/2/2019 6:13,2000,2,cc_1,NA,NA,Night,TRUE,NA,NA,NA,naphthalene,128,1,Anthropogenic,Anthropogenic,2170000,0.295066359,0.14753318,1.15E-12,28.84769283,119.3486596,19.1740004,26.04516559,0.371419886,naphthalene
45,8/2/2019 13:36,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,288539,NA,Sample,g43,8/2/2019 13:36,2000,2,cc_1,17.464382,7.60E+09,Day,TRUE,NA,127.0858557,1109.233806,naphthalene,128,1,Anthropogenic,Anthropogenic,2170000,0.132967281,0.066483641,5.19E-13,12.99978516,119.3486596,19.1740004,26.04516559,-0.237058014,naphthalene
46,8/3/2019 13:50,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,101355,NA,Sample,g46,8/3/2019 13:50,2100,1,cc_2,18.74240276,5.00E+09,Day,TRUE,Peak Chla,147.6030624,2349.124021,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.053344737,0.025402256,1.98E-13,4.966994334,119.3486596,19.1740004,26.04516559,-0.545475744,naphthalene
47,8/4/2019 13:41,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,104336,NA,Sample,g48,8/4/2019 13:41,2000,1,cc_2,6.753826262,4.20E+09,Day,TRUE,NA,136.2025878,2394.003097,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.054913684,0.027456842,2.15E-13,5.36873501,119.3486596,19.1740004,26.04516559,-0.530050974,naphthalene
48,8/5/2019 13:34,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,393468,NA,Sample,g49,8/5/2019 13:34,2000,1,cc_2,14.61165707,4.60E+09,Day,TRUE,NA,148.6083984,5692.278278,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.207088421,0.103544211,8.09E-13,20.2463716,119.3486596,19.1740004,26.04516559,0.041173522,naphthalene
49,8/6/2019 5:20,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,137290,NA,Sample,g50,8/6/2019 5:20,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.072257895,0.036128947,2.82E-13,7.064422917,119.3486596,19.1740004,26.04516559,-0.464945306,naphthalene
50,8/6/2019 13:39,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,135895,NA,Sample,g52,8/6/2019 13:39,2000,1,cc_2,4.327583712,9.60E+09,Day,TRUE,NA,140.8109537,2019.564183,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.071523684,0.035761842,2.79E-13,6.992641506,119.3486596,19.1740004,26.04516559,-0.467701342,naphthalene
51,8/7/2019 14:01,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,138548,NA,Sample,g53,8/7/2019 14:01,2000,1,cc_2,4.946981612,1.30E+10,Day,TRUE,Peak HB,108.8098627,2056.75868,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.07292,0.03646,2.85E-13,7.129154828,119.3486596,19.1740004,26.04516559,-0.462459934,naphthalene
52,8/8/2019 5:46,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,106955,NA,Sample,g56,8/8/2019 5:46,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.056292105,0.028146053,2.20E-13,5.503498821,119.3486596,19.1740004,26.04516559,-0.524876739,naphthalene
53,8/9/2019 13:52,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,354353,NA,Sample,g58,8/9/2019 13:52,2000,1,cc_2,5.958272598,4.50E+09,Day,TRUE,NA,93.58390837,2492.310916,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.186501579,0.093250789,7.29E-13,18.23366199,119.3486596,19.1740004,26.04516559,-0.036104144,naphthalene
54,8/10/2019 5:40,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,184737,NA,Sample,g60,8/10/2019 5:40,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.09723,0.048615,3.80E-13,9.50586566,119.3486596,19.1740004,26.04516559,-0.371206499,naphthalene
55,8/10/2019 13:45,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,173171,NA,Sample,g61,8/10/2019 13:45,2700,1,cc_2,6.524895086,6.00E+09,Day,TRUE,NA,NA,1830.798989,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.091142632,0.03375653,2.64E-13,6.600535665,119.3486596,19.1740004,26.04516559,-0.482756183,naphthalene
56,8/11/2019 13:45,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,157047,NA,Sample,g62,8/11/2019 13:45,2000,1,cc_2,2.945795076,4.90E+09,Day,TRUE,NA,87.3597995,1191.172731,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.082656316,0.041328158,3.23E-13,8.081043236,119.3486596,19.1740004,26.04516559,-0.42591233,naphthalene
57,8/12/2019 5:01,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,267780,NA,Sample,g63,8/12/2019 5:01,2000,1,cc_2,NA,NA,Night,TRUE,NA,NA,NA,naphthalene,128,1,Anthropogenic,Anthropogenic,1900000,0.140936842,0.070468421,5.51E-13,13.77894361,119.3486596,19.1740004,26.04516559,-0.207142349,naphthalene
58,7/24/2019 13:59,blob498_g48_beta cyclocitral_CAICE_vocstand_incomplete,0,NA,Sample,g27,7/24/2019 13:59,2016,2,cc_1,0.725469902,4.40E+09,Day,TRUE,NA,88.13144922,545.3987532,beta cyclocitral,152,1,Biogenic,Biogenic,2430000,0,0,0,0,1.801736917,0.266451168,0.515135119,-0.517245201,beta cyclocitral
