BlobID,Description,Compound Name,Library RI,LRI I,Library Match Factor,Volume,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
195,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,1759.25558,796,590831,,FALSE,0,40.08336512,0.909999882,32760,caice_voc_g48,C21H44,208,296,,
201,,"blob259_g48_9-Octadecene, (E)-",,1554.054054,757,783743,,FALSE,0,42.91669809,1.119999854,30615,caice_voc_g48,C18H36,247,252,,
203,,"blob134_g48_Heptane, 5-ethyl-2,2,3-trimethyl-",1060,1060,908,602413,,FALSE,0,25.33336704,0.749999903,29943,caice_voc_g48,C12H26,57,170,,
208,,blob150_g48_1-Octene,,848.3333333,744,526216,,FALSE,0,15.66670163,0.829999892,28866,caice_voc_g48,C8H16,84,112,,
209,,blob229_g48_1-Iodo-2-methylundecane,,1010,741,224095,,FALSE,0,23.25003398,0.739999904,29039,caice_voc_g48,C12H25I,138,296,,
210,,blob333_g48_2-Ethylhexanal,998,998.1818182,837,444357,,FALSE,0,22.75003404,1.839999761,27197,caice_voc_g48,C8H16O,214,128,,
211,,"blob143_g48_Heptadecane, 2,6-dimethyl-",1516,1519.514255,794,248243,,FALSE,0,35.83336568,0.889999884,27520,caice_voc_g48,C19H40,51,268,,
212,,"blob163_g48_Cyclopentane, 1-hexyl-3-methyl-",,,827,747828,,FALSE,0,50.41669711,1.279999834,26662,caice_voc_g48,C12H24,86,168,,
213,,"blob442_g48_Octane, 2-methyl-",865,865,849,264911,,FALSE,0,16.50003486,0.699999909,26182,caice_voc_g48,C9H20,241,128,,
222,,blob192_g48_1-Iodo-2-methylundecane,1724,1724.242424,829,625758,,FALSE,0,47.91669744,1.049999864,25887,caice_voc_g48,C12H25I,85,296,,
241,MT,blob168_g48_Limonene_CAICE_vocstand_incomplete,1044,1044,887,327857,,TRUE,0,24.66670046,1.619999789,24607,caice_voc_g48,-,6,0,,
242,,blob177_g48_1-Iodo-2-methylundecane,1508,1508.108108,854,206664,,FALSE,0,41.50003161,0.949999877,24840,caice_voc_g48,C12H25I,114,296,,
243,,blob186_g48_4-Trifluoroacetoxyhexadecane,1581,1581.081081,868,364990,,FALSE,0,43.75003131,1.149999851,25113,caice_voc_g48,C18H33F3O2,131,338,,
249,,"blob151_g48_Heptasiloxane, hexadecamethyl-",1559,1559.459459,878,299167,,FALSE,0,43.08336473,0.609999921,25422,caice_voc_g48,C16H48O6Si7,96,532,,
255,,blob23_g48_1-chloro octane_CAICE_vocstand_incomplete,1090,1090,899,347389,,FALSE,0,26.58336688,1.599999792,24557,caice_voc_g48,-,1,0,,
265,,"blob194_g48_1,4-Undecadiene, (E)-",1140,1140.425532,796,387072,,FALSE,0,28.58336662,1.299999831,24222,caice_voc_g48,C11H20,145,152,,
267,,"blob161_g48_2,5-Cyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-ethylidene-",1700,1700,745,1738714,,FALSE,0,47.25003086,2.899999623,23642,caice_voc_g48,C16H24O,54,232,,
276,,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,1250,1250,854,960512,,FALSE,0,32.75003274,1.429999814,23331,caice_voc_g48,-,9,0,,
277,,"blob226_g48_Heptadecane, 2,6-dimethyl-",1649,1648.571429,808,719304,,FALSE,0,45.75003105,0.969999874,24085,caice_voc_g48,C19H40,97,268,,
280,,blob378_g48_Dodecanal,,1668.571429,816,613402,,FALSE,0,46.33336431,2.219999711,23081,caice_voc_g48,C12H24O,163,184,,
